seq: 134
gt_pose: 0.130983 -8.01833 0.365928
odom_pose: 0.0186113  -7.31889  0.435704
point 0 6 153.538 207.127 
point 1 14 23.4628 203.428 
point 2 23 12.5379 93.6673 
point 3 26 177.978 152.001 
point 4 38 189.674 171.913 
point 5 48  103.92 56.9342 
point 6 56 291.833  205.08 
point 7 57 118.267 205.708 
point 8 69 321.951 214.342 
point 9 107 532.474  126.53 
point 10 110 24.5719 189.937 
point 11 116 109.131 228.196 
point 12 118 276.368 190.444 
point 13 119 125.542 216.582 
point 14 137 415.619 200.427 
point 15 138 176.039 231.977 
point 16 141 396.205 170.636 
point 17 182 341.532 228.456 
point 18 184 23.5176 206.097 
point 19 187 391.322 37.4913 
point 20 198 157.337 237.412 
point 21 220 389.274  62.998 
point 22 246 406.371 211.747 
point 23 256 349.096 216.173 
point 24 287 442.198 192.127 
point 25 296 91.1969 172.335 
point 26 299 314.454 169.274 
point 27 301 4.45018 211.598 
point 28 323 148.797 52.3371 
point 29 327 209.217  218.45 
point 30 336 425.068 232.904 
point 31 367 36.5548 172.707 
point 32 374 317.176 195.362 
point 33 382 51.4752 176.549 
point 34 398 97.9789 228.479 
point 35 414 424.155 141.163 
point 36 429 317.087 183.873 
point 37 444 310.966 180.222 
point 38 446 275.211 177.009 
point 39 452 282.782 187.055 
point 40 463 161.622 165.152 
point 41 468 280.859 178.887 
point 42 469 103.397 184.539 
point 43 481 345.544 225.736 
point 44 484 233.913 178.612 
point 45 508 26.2332 121.875 
point 46 519 57.4064 168.747 
point 47 532 162.812 202.835 
point 48 540 358.279 184.979 
point 49 560 119.525 157.382 
point 50 565 176.774 237.375 
point 51 566 301.621 235.634 
point 52 584 393.986 176.007 
point 53 602 406.054 72.0489 
point 54 620 313.796  145.07 
point 55 638 181.571 156.337 
point 56 639 182.385  221.47 
point 57 651 137.513 108.409 
point 58 664 175.377 215.595 
point 59 665 266.958 188.471 
point 60 667 59.5313 201.496 
point 61 673 351.349   237.9 
point 62 707  503.85 174.056 
point 63 731 275.124 229.089 
point 64 741 557.666 122.226 
point 65 743 326.056 217.854 
point 66 745 291.342 161.777 
point 67 763 246.472 143.559 
point 68 775 432.197 89.4566 
point 69 777 65.9314 206.689 
point 70 782 467.986 234.744 
point 71 791 321.475 189.419 
point 72 797 7.09971 185.023 
point 73 801 392.827 176.981 
point 74 815 127.505 173.816 
point 75 818 357.417 130.941 
point 76 821 158.183 211.282 
point 77 855 292.666 139.954 
point 78 903 220.826  202.82 
point 79 918 210.558  228.27 
point 80 927 1.49627 199.808 
point 81 931 170.531 128.588 
point 82 943    426 228.02 
point 83 949 385.242 235.856 
point 84 961 205.649  104.99 
point 85 979 6.10529 178.345 

