seq: 135
gt_pose: 0.314933 -7.93841 0.454156
odom_pose:   0.1701 -7.24153 0.512678
point 0 6 174.607 208.045 
point 1 14 63.1873 206.348 
point 2 23  43.043 100.063 
point 3 26 194.336 151.573 
point 4 38 207.611 172.622 
point 5 48 120.581  56.129 
point 6 56 307.741 203.946 
point 7 69 339.052 213.054 
point 8 107 609.523 96.1118 
point 9 116 132.013 228.541 
point 10 118 291.827 188.657 
point 11 119 149.562 217.507 
point 12 137 444.192 195.927 
point 13 138 193.936 232.041 
point 14 141 420.516 164.299 
point 15 152 314.412 169.561 
point 16 159 36.7705 215.127 
point 17 165 15.9872 200.881 
point 18 182 361.265 227.413 
point 19 184 60.8069 208.499 
point 20 220 430.683 12.9738 
point 21 246 433.709 208.602 
point 22 256 368.749 214.337 
point 23 287 474.123 186.498 
point 24 296 120.918 176.368 
point 25 299 331.764 163.675 
point 26 301 47.6842 214.048 
point 27 323 143.837 23.9575 
point 28 327 226.677 218.644 
point 29 336 454.049 232.129 
point 30 374  334.18 192.895 
point 31 382 78.4355 178.916 
point 32 398 126.651 229.131 
point 33 414 455.201 128.695 
point 34 429 334.307 180.179 
point 35 444 327.535   177.5 
point 36 446 290.905 175.546 
point 37 452 298.478 185.371 
point 38 463 182.777 167.452 
point 39 468 296.522 176.997 
point 40 481 364.137 224.874 
point 41 484  248.81 177.024 
point 42 508 56.5124 127.246 
point 43 519 92.9185 174.057 
point 44 532 183.715 203.919 
point 45 540 378.188 181.073 
point 46 560 135.105 156.534 
point 47 565 189.973 237.292 
point 48 566 318.035 235.278 
point 49 584 425.125 165.537 
point 50 602 443.979 36.9961 
point 51 620 330.677 139.629 
point 52 638 192.581 152.003 
point 53 639 200.357 221.647 
point 54 651  154.47 108.173 
point 55 664 194.757 216.091 
point 56 665 281.335 185.159 
point 57 673  370.67 237.757 
point 58 707 567.384 158.337 
point 59 731 290.804 228.829 
point 60 743 343.472 216.636 
point 61 745 307.111 157.151 
point 62 763 260.967 139.836 
point 63 775 470.477 63.4522 
point 64 777 99.6828 209.016 
point 65 782 505.86 234.03 
point 66 791 338.565  186.86 
point 67 797 48.1135 189.387 
point 68 801  419.08 169.763 
point 69 818 382.538 113.753 
point 70 821 178.583 211.979 
point 71 843 40.4359 170.762 
point 72 855 308.489 133.647 
point 73 903 237.304 202.762 
point 74 918 226.918 228.226 
point 75 927 47.6034 203.632 
point 76 931    185 126.34 
point 77 942 2.4018 220.19 
point 78 943  459.04 226.343 
point 79 949 407.905 235.512 
point 80 961 219.594 100.828 

