seq: 136
gt_pose: 0.491356 -7.84251 0.541752
odom_pose: 0.354973 -7.12675  0.60503
point 0 5 37.3113 173.458 
point 1 6 193.715 208.649 
point 2 14 96.1525 208.572 
point 3 23 69.1713 104.684 
point 4 26 209.61 150.35 
point 5 31 16.3011 219.765 
point 6 38 224.348 172.747 
point 7 48 135.382 53.5623 
point 8 56 324.031  202.42 
point 9 62 444.923 200.977 
point 10 69 357.248 211.386 
point 11 116 152.397 228.768 
point 12 118 307.551 186.274 
point 13 119 170.923 218.178 
point 14 123 19.865 138.31 
point 15 137 479.263  189.83 
point 16 138 210.545 232.036 
point 17 141  449.03 155.968 
point 18 152 330.946  166.52 
point 19 165 58.5869 204.336 
point 20 176 32.8547 217.412 
point 21 182 383.717 226.036 
point 22 184 92.0788 210.329 
point 23 200 3.42012 166.723 
point 24 204 433.781  225.31 
point 25 246 467.006 204.354 
point 26 256 390.781 211.949 
point 27 261 354.346 204.466 
point 28 273 389.667 168.994 
point 29 287 513.913 178.842 
point 30 299 350.765 156.352 
point 31 301 83.1426 215.906 
point 32 327 243.145 218.656 
point 33 336 489.451 231.088 
point 34 364 5.03337 204.903 
point 35 374 352.332 189.707 
point 36 382 101.876 180.578 
point 37 398 151.524 229.627 
point 38 414 494.277 111.477 
point 39 425 40.5337 239.949 
point 40 429 352.929 175.394 
point 41 437 517.477 224.412 
point 42 444  344.95 173.958 
point 43 446 306.669 173.456 
point 44 452 314.448 183.095 
point 45 468 312.426  174.43 
point 46 481 384.456 223.764 
point 47 482 356.078 216.786 
point 48 484 263.388 174.779 
point 49 492 1.31922 84.3574 
point 50 500 462.778 206.124 
point 51 508 82.5167 131.169 
point 52 532 202.724 204.647 
point 53 540 400.422 176.025 
point 54 560 149.036 154.868 
point 55 565 202.211 237.178 
point 56 566 335.898 234.811 
point 57 584 466.591  150.07 
point 58 620 348.702 132.593 
point 59 638 202.576 146.283 
point 60 639 217.076 221.665 
point 61 651   169.9 106.723 
point 62 661 39.5985 173.813 
point 63 664 212.598 216.368 
point 64 665 296.177 180.846 
point 65 673  392.08 237.573 
point 66 695 37.6184 207.395 
point 67 731 306.562  228.46 
point 68 743  362.16 215.063 
point 69 745 323.702  151.15 
point 70 752 34.4741 171.393 
point 71 763 275.396 134.876 
point 72 775 523.204 24.4735 
point 73 782 554.999  233.03 
point 74 791 356.752  183.55 
point 75 794 33.9619 208.588 
point 76 797 82.0557 192.706 
point 77 801 451.053 159.955 
point 78 818 414.842 88.5734 
point 79 821 197.172 212.409 
point 80 841 13.5314  165.41 
point 81 843 78.3682 176.238 
point 82 855 325.223 125.464 
point 83 881  20.426 205.136 
point 84 903  253.06 202.386 
point 85 918 242.491 228.081 
point 86 931 198.425 122.923 
point 87 942 44.9339 221.847 
point 88 943 501.711 223.974 
point 89 949 434.012 235.064 
point 90 961 232.932  95.082 

