seq: 137
gt_pose:  0.65877  -7.7317 0.624562
odom_pose: 0.520078 -7.00049 0.702994
point 0 5 67.6033 176.928 
point 1 6 210.268 208.897 
point 2 14 122.547 210.141 
point 3 23   89.88 107.135 
point 4 26 223.048 148.095 
point 5 35 320.214 217.712 
point 6 38 239.269 172.185 
point 7 48 147.083 48.4097 
point 8 56 340.256 200.449 
point 9 62 476.119 196.397 
point 10 69 376.228 209.281 
point 11 78 18.2395 204.317 
point 12 109 26.7016 228.922 
point 13 116 169.518 228.853 
point 14 118 323.084 183.182 
point 15 119 189.076  218.57 
point 16 123 55.7378 145.295 
point 17 137 522.883 181.536 
point 18 138 225.187 231.945 
point 19 141 482.429 145.127 
point 20 152 347.506 162.616 
point 21 182 409.347 224.212 
point 22 184 117.188  211.59 
point 23 200 42.3585 172.215 
point 24 204 462.619 223.709 
point 25 225 506.103 194.488 
point 26 246 508.086 198.591 
point 27 256 415.334 208.872 
point 28 261 372.685 202.135 
point 29 273 411.661 163.096 
point 30 287 564.078  168.42 
point 31 299 371.507 146.746 
point 32 301 111.257 217.221 
point 33 303 17.5898  218.86 
point 34 314 511.926 184.032 
point 35 327 258.051 218.461 
point 36 336 533.027 229.692 
point 37 359 7.61297 77.3277 
point 38 364 42.1599  207.33 
point 39 374 371.366 185.658 
point 40 382 120.852 181.373 
point 41 387 4.01909  196.86 
point 42 414 544.592 87.3835 
point 43 425 73.4468 239.952 
point 44 429 372.814 169.249 
point 45 437 566.48 221.88 
point 46 444 362.852  169.47 
point 47 446 322.014 170.658 
point 48 452 330.233 180.135 
point 49 468 328.105 171.084 
point 50 470 12.4675 236.634 
point 51 475  28.547 218.541 
point 52 481 406.319 222.366 
point 53 482 374.506 215.268 
point 54 484  277.06 171.713 
point 55 491 33.8078 208.337 
point 56 492 28.8574 89.8964 
point 57 498 420.198 210.684 
point 58 500 497.455 201.834 
point 59 508  103.34 133.368 
point 60 532 219.286 204.979 
point 61 540 424.996 169.607 
point 62 560 160.135 152.006 
point 63 565 212.555 237.018 
point 64 566 355.211 234.193 
point 65 584 525.685 125.859 
point 66 617 41.8844 166.038 
point 67 620 367.622 123.629 
point 68 638 210.483 138.544 
point 69 639 231.894  221.49 
point 70 651 182.844 103.604 
point 71 661 73.7714 178.303 
point 72 664 228.305 216.396 
point 73 665 311.095 175.193 
point 74 673 415.535 237.338 
point 75 695  68.599 209.185 
point 76 731 321.909 227.966 
point 77 743 381.861 213.075 
point 78 745 340.819  143.41 
point 79 752 70.1353 176.338 
point 80 763 289.215 128.344 
point 81 776 13.8329 137.935 
point 82 782 620.264 231.612 
point 83 791 375.727  179.37 
point 84 794 68.0751 210.662 
point 85 797 109.065 195.027 
point 86 801 490.687 146.488 
point 87 818 459.197 49.4465 
point 88 819 17.6105 177.171 
point 89 821 213.332 212.532 
point 90 841 50.6471 170.736 
point 91 855 342.609 114.873 
point 92 903 267.514 201.639 
point 93 918 256.661 227.811 
point 94 931 209.91 117.89 
point 95 942 77.8185 223.014 
point 96 943 558.834 220.537 
point 97 949 463.915 234.488 
point 98 961 244.928  87.215 
point 99 967 6.21164 199.652 

