seq: 139
gt_pose: 0.978652 -7.48999 0.651198
odom_pose: 0.793152 -6.75207 0.741977
point 0 5 45.8649 170.081 
point 1 6 206.602 206.328 
point 2 14 115.308 208.241 
point 3 16 510.633 216.661 
point 4 23 55.6832 83.8781 
point 5 26  214.06 134.033 
point 6 35 325.613 215.687 
point 7 38 237.084 165.767 
point 8 48 111.302 1.56501 
point 9 56 347.895 196.215 
point 10 62  503.36 190.348 
point 11 69 388.829 205.435 
point 12 109 14.0422 228.241 
point 13 116 156.898 227.498 
point 14 118 329.179 175.413 
point 15 119 184.223 216.895 
point 16 123 40.1176 137.733 
point 17 137 574.042 168.545 
point 18 138  219.85 231.016 
point 19 141  514.67 129.644 
point 20 152 355.741 154.729 
point 21 164 515.333 238.632 
point 22 165 85.7656 205.181 
point 23 182 438.052 220.259 
point 24 184 105.294 209.157 
point 25 198 214.006 237.431 
point 26 200 26.3794 166.979 
point 27 204 486.773 221.582 
point 28 225 535.167 188.722 
point 29 246 557.178 189.132 
point 30 252 379.292 192.136 
point 31 256 438.522 203.225 
point 32 257 448.458 233.439 
point 33 261 383.871 198.019 
point 34 273 427.644 154.277 
point 35 287 616.475 154.769 
point 36 296 164.305  178.17 
point 37 299 390.544 123.764 
point 38 301 103.433 215.785 
point 39 303 10.0564 217.966 
point 40 314 542.177 176.812 
point 41 327 258.486 216.754 
point 42 336 578.438 227.777 
point 43 364  22.414 204.355 
point 44 374 384.682 177.614 
point 45 382 95.8431 172.264 
point 46 398 168.721 229.365 
point 47 414 610.433 46.9453 
point 48 425 59.9665 239.949 
point 49 429 388.621 156.056 
point 50 437 613.081 218.872 
point 51 444 373.732 160.721 
point 52 446 327.643 163.798 
point 53 452 336.947 173.215 
point 54 463 217.092 165.015 
point 55 468  334.57 163.142 
point 56 481 422.887 220.117 
point 57 482 385.756 212.633 
point 58 484  276.2 161.08 
point 59 491 26.1993 206.913 
point 60 498 436.926 207.384 
point 61 500 528.143 196.435 
point 62 508 75.6586 116.819 
point 63 532 217.454 202.494 
point 64 540  445.96 159.347 
point 65 548 449.602 183.682 
point 66 560 127.081 130.229 
point 67 562 502.564 169.865 
point 68 565 191.593 236.256 
point 69 566 371.654 232.565 
point 70 617 31.4994 161.858 
point 71 620 381.023 105.032 
point 72 638 179.595 103.334 
point 73 639 228.224 219.558 
point 74 651 162.781 77.5644 
point 75 661 62.9598 174.247 
point 76 664 226.163 214.459 
point 77 665 315.257   158.4 
point 78 673 435.12 236.95 
point 79 685 523.697 193.924 
point 80 695 48.8401 206.075 
point 81 731 327.543 226.754 
point 82 743 395.861 209.429 
point 83 745 351.019 124.206 
point 84 752 60.6515 172.562 
point 85 763 289.542 107.755 
point 86 791 388.374 171.676 
point 87 794 54.6219 208.461 
point 88 797 98.1341 191.539 
point 89 801 543.182 121.238 
point 90 821 209.385 210.118 
point 91 841 35.0887 165.329 
point 92 843 102.672 177.087 
point 93 855 353.558 88.2946 
point 94 903 267.918 197.952 
point 95 918 255.065 226.433 
point 96 931 192.241 91.3316 
point 97 942 66.1937  221.82 
point 98 949 491.049 233.666 
point 99 961 235.298 54.9841 
point 100 967 0.0678488   198.191 

