seq: 140
gt_pose:  1.13828 -7.36834 0.651198
odom_pose: 0.937316 -6.61695 0.757831
point 0 5 23.6842 164.424 
point 1 6 200.642 204.558 
point 2 14 105.163 206.667 
point 3 16  519.29 215.602 
point 4 23 23.8723 65.0882 
point 5 26 204.263 124.232 
point 6 31  42.174 220.062 
point 7 35 325.879 214.534 
point 8 38 232.377 161.552 
point 9 54 309.941 194.774 
point 10 56 349.417 193.826 
point 11 57 179.483 206.608 
point 12 62 514.252 187.399 
point 13 69  393.05 203.316 
point 14 116 144.024 226.511 
point 15 118 329.848 170.703 
point 16 119  177.17 215.695 
point 17 123  21.967 131.101 
point 18 137 599.979  161.25 
point 19 138 212.846 230.388 
point 20 141 528.758 121.658 
point 21 152 357.566 150.376 
point 22 164 523.865 238.572 
point 23 165 75.5613 203.664 
point 24 176 55.4054  217.49 
point 25 182 453.663 217.649 
point 26 184 91.8357 207.224 
point 27 198  209.48 237.322 
point 28 200 7.42994 162.266 
point 29 204 496.143 220.547 
point 30 225 545.941 186.154 
point 31 246 582.657 183.668 
point 32 252  381.99 189.958 
point 33 256 449.143  199.93 
point 34 257 453.916  233.16 
point 35 261 387.226 195.814 
point 36 273 433.266 149.801 
point 37 296 157.687 175.542 
point 38 299 400.017 108.158 
point 39 301 92.5634  214.57 
point 40 314 553.456 173.605 
point 41 327 255.627 215.674 
point 42 336 599.108 226.799 
point 43 364 0.754666   201.76 
point 44 374 389.515 172.953 
point 45 382 72.4233 165.187 
point 46 398 162.209 228.907 
point 47 425 43.9877 239.946 
point 48 429 395.282 147.908 
point 49 437 632.313 217.486 
point 50 444  377.06 155.811 
point 51 446 328.038 159.859 
point 52 452 337.968 169.192 
point 53 463  212.59 161.734 
point 54 468 335.448 158.514 
point 55 469 168.308 186.955 
point 56 481  429.04 218.928 
point 57 482 389.119 211.234 
point 58 484 272.318 154.085 
point 59 491 12.5258 205.373 
point 60 498 442.805 205.744 
point 61 500 540.397  193.87 
point 62 508 49.7097 103.737 
point 63 532 212.811 200.796 
point 64 540 454.549 153.848 
point 65 548 455.416 181.156 
point 66 560 96.0905 112.596 
point 67 562 510.215 166.926 
point 68 565 171.072 235.657 
point 69 566 379.836 231.388 
point 70 617   16.36 157.757 
point 71 620  386.02 93.9809 
point 72 638 147.856 72.4395 
point 73 639 222.444 218.271 
point 74 651 143.857 58.0122 
point 75 661 48.8193  170.63 
point 76 664 221.409 213.165 
point 77 665 314.548 146.174 
point 78 673 443.071  236.74 
point 79 685 532.866  191.85 
point 80 692 443.105 186.262 
point 81 695 28.1777  203.49 
point 82 721 578.755 206.975 
point 83 731 327.941 226.056 
point 84 743 400.908 207.395 
point 85 745 354.368 111.704 
point 86 746 540.468 212.765 
point 87 752 47.2615  169.08 
point 88 763 286.354 93.9078 
point 89 777 140.653 209.309 
point 90 791 392.635 167.417 
point 91 794 38.4624 206.541 
point 92 797 85.1068 188.694 
point 93 801 573.292 105.216 
point 94 815 186.417 174.721 
point 95 821 203.269 208.466 
point 96 841 16.7778  160.53 
point 97 843 93.1939 174.344 
point 98 855 357.457 70.6729 
point 99 903 265.052 195.638 
point 100 918 250.802 225.543 
point 101 931 175.056  71.333 
point 102 935 328.621 230.198 
point 103 942 51.6511 220.778 
point 104 949 502.402 233.245 
point 105 961 224.605 31.6249 

