seq: 141
gt_pose:   1.2979 -7.24668 0.651198
odom_pose:  1.08439 -6.47997 0.746275
point 0 6  194.02 202.592 
point 1 14 93.9599 204.929 
point 2 16  528.77 214.441 
point 3 26 192.469 112.435 
point 4 31 30.5282 219.226 
point 5 35 326.172 213.267 
point 6 38 227.104 156.831 
point 7 54 309.514 192.854 
point 8 55 538.787 177.035 
point 9 56 351.115 191.162 
point 10 57 173.585 205.207 
point 11 62  526.52 184.077 
point 12 68 15.4586 239.649 
point 13 69 397.821  200.92 
point 14 84 265.249 185.045 
point 15 116 128.944 225.355 
point 16 118 330.623 165.252 
point 17 119 169.343 214.363 
point 18 123 1.29884 123.549 
point 19 137 631.813 152.296 
point 20 138 204.789 229.665 
point 21 141 545.044 112.426 
point 22 152 359.588 145.554 
point 23 164 533.176 238.507 
point 24 165 64.4273 202.009 
point 25 176 44.0823 216.526 
point 26 182 474.032 214.243 
point 27 184 76.5777 205.032 
point 28 198  204.55 237.202 
point 29 204 506.627 219.389 
point 30 225 557.852 183.316 
point 31 246 614.269 176.888 
point 32 252 384.945 187.573 
point 33 256 461.855 195.986 
point 34 257 459.858 232.857 
point 35 261 390.951 193.366 
point 36 273 439.507  144.83 
point 37 286 233.379 191.362 
point 38 296 150.481  172.68 
point 39 299 412.427 87.7108 
point 40 301 80.5454 213.226 
point 41 314 565.942 170.054 
point 42 327 252.488 214.488 
point 43 336 623.371 225.652 
point 44 374 395.129 167.539 
point 45 382 43.5384 156.459 
point 46 398 155.111 228.408 
point 47 425 25.9165 239.942 
point 48 429 403.376 138.007 
point 49 444 380.828 150.253 
point 50 446 328.477 155.491 
point 51 452 339.121 164.653 
point 52 463 207.675 158.153 
point 53 468 336.438 153.291 
point 54 469 161.936 184.727 
point 55 481 435.977 217.587 
point 56 482 392.844 209.683 
point 57 484 267.682 145.731 
point 58 498 449.307 203.931 
point 59 500 554.185 190.984 
point 60 508 17.5939 87.5462 
point 61 519 129.056 172.911 
point 62 532 207.727 198.936 
point 63 540 464.395 147.543 
point 64 548 461.775 178.393 
point 65 560 53.2377  88.212 
point 66 562 518.535  163.73 
point 67 565 142.742 234.831 
point 68 566 391.097 229.767 
point 69 620 391.909  80.958 
point 70 638 97.5756 23.4959 
point 71 639 215.888 216.811 
point 72 651 119.754 33.1087 
point 73 661 33.0322 166.591 
point 74 664 216.148 211.733 
point 75 665 313.588  129.64 
point 76 673 452.203 236.498 
point 77 685 542.899  189.58 
point 78 692 448.267 184.009 
point 79 695 4.10639 200.478 
point 80 721 589.906 205.552 
point 81 731 328.383  225.28 
point 82 743 406.673 205.072 
point 83 745 358.529  96.175 
point 84 746 550.018 211.586 
point 85 752 32.4135  165.22 
point 86 762 482.792 210.081 
point 87 763 282.419 76.8219 
point 88 777 132.846 207.973 
point 89 791 397.463 162.593 
point 90 794  20.207 204.371 
point 91 797 70.4541 185.493 
point 92 801 612.793 84.1963 
point 93 815 180.767 171.959 
point 94 821 196.437  206.62 
point 95 842 528.238 222.655 
point 96 843 82.8514  171.35 
point 97 855  362.38 48.4192 
point 98 881 34.7171 204.206 
point 99 882 208.917 210.673 
point 100 885 255.402 171.733 
point 101 903 261.852 193.055 
point 102 904 406.033 193.878 
point 103 912 529.112 186.747 
point 104 918  245.94 224.527 
point 105 927 93.0397 204.442 
point 106 929 53.3783 196.594 
point 107 931 152.528 45.1174 
point 108 935 328.993 229.776 
point 109 942 35.3405 219.609 
point 110 949 515.369 232.765 
point 111 961 210.821 1.51437 

