seq: 142
gt_pose:  1.45753 -7.12502 0.651198
odom_pose:   1.2198 -6.35372 0.747913
point 0 6  186.62 200.395 
point 1 14 81.5241 202.999 
point 2 16 539.197 213.165 
point 3 26 177.997  97.959 
point 4 31 17.8633 218.317 
point 5 35 326.496 211.866 
point 6 38 221.155 151.504 
point 7 54 309.049 190.763 
point 8 55 548.202 174.325 
point 9 56  353.02 188.171 
point 10 57 167.171 203.682 
point 11 59 275.381 219.129 
point 12 62 540.442 180.307 
point 13 68 2.52929 239.634 
point 14 69  403.26 198.189 
point 15 84 262.899 182.686 
point 16 85  504.15 205.177 
point 17 116 111.036 223.983 
point 18 118 331.531  158.87 
point 19 119 160.608 212.876 
point 20 138 195.421 228.825 
point 21 141 564.087 101.631 
point 22 152 361.839 140.184 
point 23 156 48.6926 206.955 
point 24 159 76.8964  215.09 
point 25 164 543.378 238.436 
point 26 165 52.2306 200.196 
point 27 176 31.7466 215.477 
point 28 182 501.725 209.612 
point 29 184 59.1327 202.526 
point 30 198  199.16 237.072 
point 31 204 518.439 218.085 
point 32 225 571.087 180.162 
point 33 252 388.196 184.948 
point 34 256 477.342 191.181 
point 35 257 466.352 232.525 
point 36 261 395.114  190.63 
point 37 273 446.477  139.28 
point 38 286 229.751 189.324 
point 39 296 142.606 169.553 
point 40 299 429.393 59.7577 
point 41 301 67.1864 211.732 
point 42 314 579.839 166.102 
point 43 327 249.028  213.18 
point 44 365  481.62 197.716 
point 45 374 401.728 161.174 
point 46 382   7.023 145.424 
point 47 398 147.344 227.862 
point 48 425 5.31297 239.938 
point 49 429 413.419 125.722 
point 50 444 385.128 143.908 
point 51 446 328.966 150.619 
point 52 452  340.43 159.492 
point 53 463  202.29 154.229 
point 54 468 337.564 147.354 
point 55 469 155.006 182.303 
point 56 481 443.856 216.065 
point 57 482 396.994 207.956 
point 58 484 262.047 135.577 
point 59 495 17.9877 178.058 
point 60 498 456.535 201.915 
point 61 500 569.813 187.713 
point 62 509 331.064 212.358 
point 63 519 120.797 170.009 
point 64 532 202.137 196.892 
point 65 540 475.796 140.244 
point 66 548 468.761 175.357 
point 67 562 527.617 160.242 
point 68 565 101.103 233.617 
point 69 566 407.578 227.395 
point 70 567 494.319 203.726 
point 71 620  398.95 65.3847 
point 72 629 241.199 190.839 
point 73 639 208.387  215.14 
point 74 651  88.0085 0.309225 
point 75 661 15.2933 162.054 
point 76 664 210.293 210.139 
point 77 665 312.217 106.031 
point 78 673 462.798 236.217 
point 79 685 553.925 187.086 
point 80 692  453.88 181.559 
point 81 721 602.061 204.001 
point 82 731 328.877 224.413 
point 83 733 450.807 176.218 
point 84 743 413.323 202.392 
point 85 745 363.835  76.369 
point 86 746 560.432 210.299 
point 87 752 15.8556 160.914 
point 88 762 489.725 208.807 
point 89 763 277.442 55.2102 
point 90 777 124.329 206.515 
point 91 791 402.979 157.082 
point 92 797 53.8516 181.867 
point 93 815 174.618 168.954 
point 94 821 188.756 204.545 
point 95 842 537.261 221.903 
point 96 843 71.5207 168.069 
point 97 855 368.793 19.4311 
point 98 881 22.3905 202.659 
point 99 882  204.26 209.443 
point 100 885  252.62 168.793 
point 101 903 258.256 190.152 
point 102 904 409.698 191.913 
point 103 912 537.961 184.494 
point 104 918 240.344 223.357 
point 105 927  83.242 202.907 
point 106 929 41.7822 194.706 
point 107 931 121.708 9.25278 
point 108 935 329.398 229.316 
point 109 942 16.9187  218.29 
point 110 949 530.321 232.212 

