seq: 143
gt_pose:  1.61716 -7.00336 0.651198
odom_pose:  1.36445 -6.22027 0.746251
point 0 6 178.296 197.923 
point 1 14 67.6403 200.845 
point 2 16 550.721 211.754 
point 3 26 159.822 79.7779 
point 4 31 4.03947 217.325 
point 5 35 326.855 210.311 
point 6 38 214.391 145.449 
point 7 45 295.968 234.695 
point 8 54 308.541 188.478 
point 9 55 558.464 171.372 
point 10 56 355.174  184.79 
point 11 57 160.169 202.018 
point 12 59 273.448 218.224 
point 13 62 556.376 175.992 
point 14 69 409.516 195.048 
point 15 84 260.338 180.116 
point 16 85 512.068  203.68 
point 17 110 93.7842 191.657 
point 18 116 89.4236 222.326 
point 19 118 332.608 151.297 
point 20 119 150.799 211.207 
point 21 138 184.395 227.835 
point 22 141  586.65 88.8408 
point 23 152 364.361 134.167 
point 24 156 37.1803 205.553 
point 25 159 66.3745 214.012 
point 26 164 554.605 238.357 
point 27 165 38.8114 198.201 
point 28 176 18.2564 214.329 
point 29 182 541.558 202.952 
point 30 184 38.9942 199.633 
point 31 198 193.241 236.928 
point 32 204 531.847 216.604 
point 33 225 585.883 176.636 
point 34 252  391.79 182.048 
point 35 256 496.625 185.198 
point 36 257 473.479 232.161 
point 37 261 399.796 187.552 
point 38 265 502.311 226.861 
point 39 273  454.31 133.043 
point 40 286 225.806 187.109 
point 41 296 133.963  166.12 
point 42 299 453.987  19.236 
point 43 301 52.2488 210.062 
point 44 314 595.399 161.676 
point 45 319 173.542 192.127 
point 46 327 245.195 211.731 
point 47 365 488.448  195.93 
point 48 374 409.599 153.583 
point 49 398 138.809 227.262 
point 50 429 426.213 110.072 
point 51 444 390.082 136.599 
point 52 446 329.515  145.15 
point 53 452 341.933 153.573 
point 54 463 196.362 149.909 
point 55 468 338.856 140.544 
point 56 469 147.441 179.658 
point 57 481 452.883  214.32 
point 58 482 401.645 206.021 
point 59 484 255.052 122.971 
point 60 495  5.0906 175.412 
point 61 498  464.62 199.659 
point 62 500 587.676 183.974 
point 63 506 25.0115 213.055 
point 64 509 331.54 211.17 
point 65 519  111.79 166.844 
point 66 532 195.962 194.633 
point 67 540 489.151 131.692 
point 68 548 476.471 172.007 
point 69 562 537.569 156.419 
point 70 565 33.8936 231.657 
point 71 566 434.006 223.592 
point 72 567 501.617 202.207 
point 73 571 302.591 169.552 
point 74 573 146.598 187.079 
point 75 618 510.141 170.914 
point 76 620 407.521 46.4306 
point 77 629 237.853 188.752 
point 78 639 199.722 213.209 
point 79 664 203.739 208.355 
point 80 665   310.1 69.5709 
point 81 667 119.524 201.528 
point 82 673 475.239 235.887 
point 83 685 566.098 184.333 
point 84 692 460.007 178.884 
point 85 709 225.943 219.237 
point 86 721 615.363 202.303 
point 87 731 329.433 223.437 
point 88 733 456.417 173.483 
point 89 743 421.079 199.267 
point 90 745 370.837  50.237 
point 91 746 571.834 208.891 
point 92 762 497.275 207.419 
point 93 763 270.946 27.0002 
point 94 764 403.253 206.538 
point 95 777     115 204.919 
point 96 791  409.34 150.726 
point 97 797 34.8824 177.723 
point 98 815   167.9 165.671 
point 99 821 180.056 202.194 
point 100 842 547.101 221.084 
point 101 843 59.0528  164.46 
point 102 857 494.511 218.342 
point 103 881 8.95063 200.973 
point 104 882 199.196 208.106 
point 105 885 249.587 165.588 
point 106 903 254.187 186.866 
point 107 904  413.69 189.773 
point 108 912 547.591 182.042 
point 109 918 233.833 221.997 
point 110 927 72.5601 201.233 
point 111 929 29.1316 192.647 
point 112 935 329.841 228.812 
point 113 949 547.752 231.566 

