seq: 148
gt_pose:  2.40794 -6.38598 0.725807
odom_pose:  2.13339  -5.5064 0.827428
point 0 6  144.57 183.475 
point 1 14 23.1789 191.727 
point 2 17 144.338 166.812 
point 3 35 344.864 198.679 
point 4 38 184.379 104.813 
point 5 45 304.763  233.42 
point 6 47 455.446 223.417 
point 7 54 319.981  173.12 
point 8 56 389.515 155.975 
point 9 57 142.753 194.497 
point 10 59 276.418  212.79 
point 11 69 489.942 163.176 
point 12 84 259.833 164.963 
point 13 85 608.864 188.342 
point 14 91 419.966 224.596 
point 15 110 77.9995 185.321 
point 16 118 361.739 71.3727 
point 17 119 112.162 202.118 
point 18 132 88.7233 210.096 
point 19 138 114.572  220.11 
point 20 151 617.082  169.31 
point 21 152 401.204 83.8877 
point 22 156 20.3425 201.833 
point 23 159 47.6313 210.675 
point 24 165 8.30094 191.595 
point 25 174 303.994  195.93 
point 26 179 143.083  216.96 
point 27 188 459.382 174.855 
point 28 194 381.904 158.696 
point 29 196 393.412 190.316 
point 30 198 177.053 236.185 
point 31 202 157.128 181.814 
point 32 224 344.943 199.274 
point 33 240 43.5603 193.661 
point 34 252 437.436 157.737 
point 35 257 558.001 228.649 
point 36 259 238.873 209.659 
point 37 261 458.269 159.691 
point 38 265 588.895 221.739 
point 39 273 548.744 70.8951 
point 40 286 219.262 175.342 
point 41 296  110.38 151.103 
point 42 301 5.00515 203.184 
point 43 313 157.408 156.732 
point 44 316 244.165 188.798 
point 45 319 162.751 183.985 
point 46 327 236.268 202.733 
point 47 347 425.466 199.252 
point 48 365  570.59 178.501 
point 49 367 93.7346 167.446 
point 50 373 340.045 237.328 
point 51 374 525.668 59.7565 
point 52 394  425.91 181.165 
point 53 398 114.785  224.57 
point 54 444 455.968 64.2994 
point 55 446 349.455 102.117 
point 56 448 161.198 220.025 
point 57 452   371.7 100.856 
point 58 463 179.411 126.967 
point 59 468 366.658 80.2305 
point 60 469  128.71 168.147 
point 61 481 566.862 195.601 
point 62 482 459.338 188.663 
point 63 498 561.637 177.143 
point 64 506 11.1366 210.543 
point 65 509 349.654 202.939 
point 66 510 531.304 197.814 
point 67 519 91.3028 154.714 
point 68 531 454.965 204.765 
point 69 532 177.008 182.358 
point 70 548 568.192  139.08 
point 71 567  590.28 186.998 
point 72 571 312.865 151.972 
point 73 573 133.012 178.648 
point 74 578 15.0834 211.144 
point 75 618 601.133 143.504 
point 76 629  234.15 177.448 
point 77 637 455.883 164.541 
point 78 639 153.379 199.376 
point 79 664 179.327 197.646 
point 80 667  105.42 196.149 
point 81 671 582.005 159.207 
point 82 692 532.513 154.021 
point 83 697 251.179 204.301 
point 84 709 220.807 214.937 
point 85 731  349.55 215.674 
point 86 733 523.128  148.46 
point 87 742 500.931 171.242 
point 88 743 524.643 164.649 
point 89 762 588.287 193.574 
point 90 764 445.206 195.735 
point 91 777 91.2717 198.441 
point 92 791 491.744 85.4357 
point 93 811 395.375 214.679 
point 94 815 150.927   150.4 
point 95 821 141.892 187.804 
point 96 843 28.7417 151.631 
point 97 857 578.806 209.807 
point 98 860 363.274 236.286 
point 99 867 144.792 220.438 
point 100 882 188.558 201.519 
point 101 885 246.726 147.184 
point 102 903 240.827 163.598 
point 103 904 462.502 171.785 
point 104 906 528.164 178.056 
point 105 918 198.301 211.188 
point 106 927 50.9435 195.669 
point 107 929 7.20463 186.836 
point 108 935 347.967 225.237 
point 109 971 163.011 210.968 
point 110 979 78.6074 177.558 

