seq: 152
gt_pose:  2.95387 -5.79914 0.917402
odom_pose:  2.60467 -4.88422  1.02119
point 0 6 150.811 172.104 
point 1 14 62.7326 192.162 
point 2 17 179.601 166.431 
point 3 31 56.8825 217.808 
point 4 35 406.425 176.252 
point 5 38 180.782 55.9479 
point 6 45 342.026 231.761 
point 7 46 491.401   188.8 
point 8 47 569.151 215.072 
point 9 54 363.404 149.766 
point 10 56 513.621  75.799 
point 11 57 170.918 192.104 
point 12 59 307.205 206.475 
point 13 68 51.7783 239.639 
point 14 84 287.429 148.596 
point 15 91 515.239 216.975 
point 16 99 404.383 158.741 
point 17 110 124.952 187.956 
point 18 119 123.504 196.866 
point 19 138 42.4059 207.975 
point 20 156 84.5924 205.646 
point 21 159  101.54 212.717 
point 22 165 66.4715 195.168 
point 23 174 340.785 186.091 
point 24 176 62.4818 214.115 
point 25 179 179.341 216.993 
point 26 188 579.807 140.166 
point 27 194 448.375 128.266 
point 28 196   465.8 170.836 
point 29 198 198.471 235.714 
point 30 202 192.016 181.372 
point 31 206 304.479 161.708 
point 32 207 433.248 236.084 
point 33 212 474.732 219.641 
point 34 217 356.863 169.672 
point 35 221  533.79 239.771 
point 36 224 392.615 188.411 
point 37 237 419.788 193.549 
point 38 252  583.03 92.7787 
point 39 259 267.097   205.8 
point 40 280 202.277 233.826 
point 41 286  244.02 166.093 
point 42 290 248.251 198.257 
point 43 296 140.972 148.294 
point 44 301 49.2322 204.074 
point 45 303 2.79431 214.216 
point 46 305  520.51 172.435 
point 47 313 188.783  153.94 
point 48 316 273.698 183.001 
point 49 319 192.893  181.52 
point 50 327 255.879 192.581 
point 51 329 503.584 173.012 
point 52 347 521.423 179.707 
point 53 354 463.652  236.92 
point 54 367 139.191 170.722 
point 55 368  632.08 239.975 
point 56 373 387.926  236.53 
point 57 394  523.18 152.446 
point 58 398 143.626 223.922 
point 59 403 325.064 224.373 
point 60 417 430.986 201.586 
point 61 421 459.013 207.794 
point 62 446  420.96 8.41564 
point 63 448 194.103 219.574 
point 64 451 535.415 142.867 
point 65 463 199.362 111.277 
point 66 469 159.128  165.62 
point 67 491 11.7516 200.092 
point 68 495 64.9673 178.323 
point 69 509 404.245 189.211 
point 70 518 388.958 174.909 
point 71 519 130.429 155.822 
point 72 531 566.351 187.495 
point 73 532 194.978 173.525 
point 74 537  515.46 185.403 
point 75 571 352.477 127.888 
point 76 573 167.218 177.905 
point 77 629 260.155 167.734 
point 78 637 569.875 126.533 
point 79 639 126.082 180.938 
point 80 664 188.593 187.788 
point 81 667 146.134 197.164 
point 82 681 255.818 211.071 
point 83 697 279.875 198.947 
point 84 703 454.621 181.606 
point 85 709 246.818 211.715 
point 86 731 423.036 198.295 
point 87 752 8.39154 146.333 
point 88 764 566.346 169.781 
point 89 771 261.784 228.385 
point 90 777 127.411 198.363 
point 91 790 501.532 231.919 
point 92 811 465.489 205.512 
point 93 815 177.553 144.493 
point 94 821 141.354 175.132 
point 95 843 79.6326 156.272 
point 96 860 418.469 235.141 
point 97 867 180.128 220.346 
point 98 881 61.1775 201.732 
point 99 882 213.846  197.71 
point 100 885 272.572 128.847 
point 101 903  251.97 128.784 
point 102 904 611.855 124.304 
point 103 918  167.39 190.999 
point 104 927 101.529 198.191 
point 105 929  72.364 192.051 
point 106 935  404.66 219.021 
point 107 963 198.724 210.232 
point 108 967 8.65365 193.461 
point 109 971 194.721 210.039 
point 110 994   381.5 170.577 

