seq: 153
gt_pose:  3.07202 -5.63694   0.9653
odom_pose:  2.71814 -4.69132  1.05832
point 0 0 359.652  197.71 
point 1 6 150.401 168.007 
point 2 14 70.9795 191.975 
point 3 17 187.598  165.89 
point 4 31 71.9544 218.329 
point 5 35 431.365 165.624 
point 6 38 176.113 36.0869 
point 7 45 353.193 231.145 
point 8 46 520.353 183.029 
point 9 47 617.186 211.259 
point 10 54 377.748 140.403 
point 11 56 589.307 21.9995 
point 12 57 177.196 191.161 
point 13 59 315.855 204.165 
point 14 68 67.9962 239.648 
point 15 84 294.843  142.66 
point 16 91   554.6 213.517 
point 17 99 420.135 152.605 
point 18 110 135.114 188.273 
point 19 119 124.706 195.015 
point 20 138 1.16921 201.854 
point 21 156 97.9082  206.29 
point 22 159 112.981 213.027 
point 23 165 78.6274 195.722 
point 24 174 351.581 182.515 
point 25 176  76.498 214.626 
point 26 179 187.553 216.863 
point 27 188 632.138 123.909 
point 28 194 472.399 115.819 
point 29 196 492.601 162.747 
point 30 198 203.173 235.548 
point 31 202 200.007 180.906 
point 32 206 313.015 158.321 
point 33 207 453.099 235.726 
point 34 212 498.212 217.788 
point 35 215 483.296 172.183 
point 36 217 368.176  165.73 
point 37 221 570.596 239.741 
point 38 224 407.794 184.341 
point 39 237 437.848 189.552 
point 40 259 274.254 204.448 
point 41 280 210.102 233.763 
point 42 286 250.043 162.848 
point 43 290 255.609 197.248 
point 44 296 147.633 146.988 
point 45 301 58.4432 204.071 
point 46 303 21.3537     215 
point 47 305 552.959 164.727 
point 48 313 195.964 152.677 
point 49 316 281.227 180.966 
point 50 319 199.813 180.502 
point 51 327 260.509 188.749 
point 52 329 532.092 166.071 
point 53 347 560.622 170.954 
point 54 354 486.873 236.625 
point 55 367  149.11 171.092 
point 56 373 403.513 236.223 
point 57 394 563.234  139.49 
point 58 398 149.876 223.649 
point 59 403 334.482 223.661 
point 60 417 448.995 198.588 
point 61 421 481.624 204.753 
point 62 442 369.205 235.399 
point 63 448 201.671 219.332 
point 64 451 572.752  130.41 
point 65 463 203.648 105.764 
point 66 469 165.873 164.495 
point 67 491 28.8626 201.148 
point 68 499 2.14479  210.77 
point 69 509 423.356  183.61 
point 70 518 403.461 170.091 
point 71 519 138.983 155.587 
point 72 531 612.835 179.694 
point 73 532 198.639 170.413 
point 74 537 547.928 179.022 
point 75 571 364.684 118.809 
point 76 573 174.902 177.337 
point 77 596 4.43183 212.826 
point 78 617 0.482096  138.431 
point 79 629 266.691 164.317 
point 80 637 618.059 109.161 
point 81 639  110.31 172.818 
point 82 661 2.69967 143.916 
point 83 664 189.309 184.168 
point 84 667 155.113 197.156 
point 85 681 263.144 210.261 
point 86 697 287.337 197.068 
point 87 703 475.708 176.536 
point 88 709 253.196 210.585 
point 89 731 457.898 188.747 
point 90 752 21.6858 147.581 
point 91 764 621.365 157.031 
point 92 771 269.323 228.075 
point 93 777 135.282 198.088 
point 94 790 531.087  231.03 
point 95 811 490.768 201.803 
point 96 815 183.493 142.278 
point 97 821 138.415  170.44 
point 98 843 90.4021 156.866 
point 99 860 436.991 234.698 
point 100 867 188.144 220.204 
point 101 881 75.9882 202.607 
point 102 882 219.728 196.358 
point 103 885 279.258 122.277 
point 104 903 253.159 113.458 
point 105 918 145.085 180.008 
point 106 927 112.324 198.534 
point 107 929 85.8299  192.93 
point 108 935 425.374 216.372 
point 109 937 9.76669 235.977 
point 110 963 206.584 209.949 
point 111 967 28.0075 195.029 
point 112 969 467.314 239.879 
point 113 971 202.021 209.612 
point 114 994 394.946 165.928 

