seq: 156
gt_pose:  3.37808 -5.11906    1.109
odom_pose:    2.992 -4.12137  1.19413
point 0 0 397.374  189.25 
point 1 6 141.618 150.491 
point 2 14  92.376 190.673 
point 3 17 210.172 163.095 
point 4 31 111.367 219.475 
point 5 35  596.26 86.8724 
point 6 42 252.603 192.018 
point 7 45   395.8 228.378 
point 8 54 441.179 92.3778 
point 9 57 194.454 187.291 
point 10 59 346.621 194.007 
point 11 64 226.278 212.386 
point 12 84 319.904 116.945 
point 13 99 483.514 124.964 
point 14 109 12.0683 225.109 
point 15 110 162.816  188.47 
point 16 119 122.987 187.486 
point 17 159 143.762 213.546 
point 18 165 110.894 196.695 
point 19 174 391.477 166.964 
point 20 175 30.2385 172.775 
point 21 176 113.401  215.71 
point 22 177 422.624 196.702 
point 23 179 210.728 216.117 
point 24 186 4.35408 173.945 
point 25 194 589.377 49.5698 
point 26 196 627.884 118.434 
point 27 198 215.624 234.881 
point 28 202 222.778 178.566 
point 29 206 341.321  144.61 
point 30 207 540.065     234 
point 31 212 602.502  208.87 
point 32 215 574.438  147.65 
point 33 217 409.086 149.208 
point 34 224 469.326 165.741 
point 35 237 514.575 170.717 
point 36 259 296.719 199.009 
point 37 280 232.587 233.473 
point 38 286 268.135 149.663 
point 39 289 437.561 183.337 
point 40 290  277.84 193.193 
point 41 296 165.551 141.348 
point 42 301 82.4374 203.527 
point 43 303 68.7509 216.775 
point 44 313 216.336 147.274 
point 45 316 304.962 172.825 
point 46 317 488.229 236.773 
point 47 319 219.483 176.266 
point 48 327 273.736 171.042 
point 49 354 591.933 235.176 
point 50 367 176.345 171.207 
point 51 372 435.112 222.508 
point 52 373 469.172 234.761 
point 53 387 44.1664 191.283 
point 54 398 166.552 222.507 
point 55 403 366.559 220.765 
point 56 417 523.213 184.945 
point 57 421 583.196 189.867 
point 58 442 409.371 234.439 
point 59 448 223.275 218.251 
point 60 463 214.581 83.3943 
point 61 469 184.374 159.692 
point 62 491 72.9313 203.508 
point 63 509 513.763 153.944 
point 64 518 460.922 148.512 
point 65 519 162.348 153.619 
point 66 532 207.136 157.663 
point 67 533   322.5 181.757 
point 68 571 412.961 76.9118 
point 69 573 196.366 174.605 
point 70 588 291.631 232.901 
point 71 604  490.74 231.938 
point 72 617 42.4347  143.22 
point 73 629 287.056  150.33 
point 74 644 26.8669 169.257 
point 75 646 307.312 226.295 
point 76 661 34.6123 145.201 
point 77 664 185.009 168.187 
point 78 667 179.905 196.507 
point 79 681 285.543 207.024 
point 80 697 311.422  189.41 
point 81 698 462.785 220.478 
point 82 703 566.949 152.577 
point 83 709 272.527 206.033 
point 84 752 56.2969 149.853 
point 85 753 504.451 177.405 
point 86 754 416.479 194.287 
point 87 768 355.324 202.807 
point 88 771 292.487 226.835 
point 89 777 156.623 196.603 
point 90 789 479.995 187.498 
point 91 797 14.3481 152.549 
point 92 805  51.027 171.028 
point 93 811 612.223 182.452 
point 94 815  199.79 133.324 
point 95 821 117.554 149.461 
point 96 839 435.977 215.496 
point 97 843 119.166  157.42 
point 98 858 2.96063 168.601 
point 99 860 517.502  232.56 
point 100 867 210.782 219.466 
point 101 880 2.44777 182.453 
point 102 881 114.797 204.524 
point 103 882 236.562 190.956 
point 104 883 18.2111 218.944 
point 105 885 300.856 94.3949 
point 106 903 245.814 18.7549 
point 107 927  141.42 198.951 
point 108 929 121.449 194.758 
point 109 935 532.058 201.087 
point 110 942 18.4255 212.153 
point 111 963 229.105 208.606 
point 112 967 77.1793 198.606 
point 113 969 548.926 239.838 
point 114 971 222.858 207.774 
point 115 994 446.475 145.675 

