seq: 160
gt_pose:  3.66506 -4.37096  1.29977
odom_pose:   3.1923 -3.35965   1.4344
point 0 0  474.63 167.599 
point 1 3 333.841 201.105 
point 2 6 92.4543 100.091 
point 3 14 113.414 186.894 
point 4 17 237.842 156.053 
point 5 42 282.545 186.232 
point 6 45 511.824 218.874 
point 7 57 213.846 178.731 
point 8 59 417.069 161.851 
point 9 64 255.327 209.883 
point 10 84 370.279 39.5925 
point 11 88 7.83923 237.243 
point 12 94 498.169 187.522 
point 13 109 58.6109 225.614 
point 14 110 194.667 186.941 
point 15 111 45.5938 231.777 
point 16 119 99.8813 169.156 
point 17 159 178.389 213.323 
point 18 165 146.139 196.472 
point 19 169  227.43 209.994 
point 20 174 487.756 119.563 
point 21 175 87.2053 177.931 
point 22 176 153.538  216.25 
point 23 177 511.543 177.816 
point 24 179 239.158 214.137 
point 25 185 411.388 165.441 
point 26 198 227.106 233.318 
point 27 202 251.279 172.768 
point 28 206 391.579 111.675 
point 29 217 498.427 104.706 
point 30 251 57.3182 231.337 
point 31 259 332.032  186.26 
point 32 279  509.99 180.665 
point 33 280 261.233 232.784 
point 34 286 293.785 117.658 
point 35 289 535.205 157.664 
point 36 290 309.454 184.306 
point 37 296 184.662 128.508 
point 38 301  106.61 201.394 
point 39 303 117.96 218.09 
point 40 313 241.435 135.083 
point 41 316 342.374 154.216 
point 42 317  632.77 234.899 
point 43 319 243.769 166.857 
point 44 327 288.642  103.31 
point 45 348 439.431 209.788 
point 46 367 208.135 168.967 
point 47 372 535.313 214.128 
point 48 387 96.1926  194.28 
point 49 398 183.759  219.95 
point 50 403 426.845 213.689 
point 51 425 5.95107 239.912 
point 52 442 494.309 231.934 
point 53 448 250.359 215.747 
point 54 463 222.632  29.338 
point 55 469 205.222 148.856 
point 56 491 119.161 205.124 
point 57 518 625.854 75.5122 
point 58 519 188.961 147.596 
point 59 532 209.123 125.816 
point 60 533 363.528 167.771 
point 61 573 221.969 167.983 
point 62 582 434.555 189.462 
point 63 588 325.727 231.589 
point 64 604 633.761 227.376 
point 65 608 486.682 208.981 
point 66 612 530.074 174.111 
point 67 617 85.9652 145.831 
point 68 619 434.034 186.748 
point 69 624 478.189 219.362 
point 70 629 318.936 115.451 
point 71 632 404.825 237.941 
point 72 644  83.119 174.415 
point 73 646 344.508 223.376 
point 74 661 66.8689 143.499 
point 75 664 143.136  116.77 
point 76 667 209.002 194.024 
point 77 681 318.307 199.871 
point 78 697 352.181 170.591 
point 79 698 591.154  209.34 
point 80 709 300.505 195.313 
point 81 726 29.7472 196.485 
point 82 740  476.64 207.344 
point 83 752 92.4196 149.641 
point 84 754 498.544  175.95 
point 85 768 407.502 191.647 
point 86 771 326.697 224.106 
point 87 777 180.305 192.753 
point 88 789 627.488 154.824 
point 89 794 14.1495 188.365 
point 90 797 22.0617 143.291 
point 91 805 105.984 176.249 
point 92 815 217.863 113.569 
point 93 821 16.9735 78.7058 
point 94 839 538.146 203.483 
point 95 843 150.727 155.254 
point 96 845 552.333  218.83 
point 97 867 238.559   217.6 
point 98 876 22.5484 126.389 
point 99 880 57.4703 186.009 
point 100 882 257.457 178.781 
point 101 883 75.2929 220.489 
point 102 885 338.926 16.1348 
point 103 892 355.104 163.349 
point 104 927 174.123 198.082 
point 105 929 160.493  195.54 
point 106 942 46.4607 211.237 
point 107 963 257.615 205.387 
point 108 971 248.925 203.619 
point 109 994 578.938 83.6384 
point 110 996 527.884 163.776 

