seq: 168
gt_pose:  3.79455 -2.77943  1.67967
odom_pose:   3.1576 -1.78627  1.78789
point 0 3 442.358  173.36 
point 1 14 127.008 167.427 
point 2 17 292.167 121.237 
point 3 31 219.906  219.28 
point 4 42 354.999 157.378 
point 5 44 302.012 196.598 
point 6 50 478.153 205.983 
point 7 57 236.917 131.501 
point 8 64 316.566 197.546 
point 9 87 540.679 231.001 
point 10 109 120.588 224.853 
point 11 110 248.875 175.956 
point 12 111 140.336 232.546 
point 13 113 290.292 217.479 
point 14 115 403.649 161.325 
point 15 120 395.858 187.376 
point 16 132 269.987 207.245 
point 17 148  284.79 173.139 
point 18 156 235.195 205.683 
point 19 159 235.151 209.343 
point 20 165  199.64 190.278 
point 21 166 70.4216 201.204 
point 22 169  285.66 202.505 
point 23 175 166.488 180.104 
point 24 176 216.073  214.47 
point 25 179 295.237 204.285 
point 26 198 172.652 216.136 
point 27 200  20.902 110.078 
point 28 202 310.582 144.195 
point 29 245 61.5356   178.9 
point 30 251 147.106     232 
point 31 259 545.551 43.2366 
point 32 262 2.13404 141.419 
point 33 270 588.036 224.061 
point 34 276 440.794  239.65 
point 35 280 323.824 229.385 
point 36 290 408.872  131.59 
point 37 296 202.228 62.4227 
point 38 301 128.524 189.705 
point 39 303 189.791 218.035 
point 40 313 290.995 72.7882 
point 41 319 291.886 117.142 
point 42 325 371.307  216.65 
point 43 340 455.296 163.507 
point 44 341 527.147  216.89 
point 45 352 45.4731 201.539 
point 46 353 346.982 190.358 
point 47 367 264.326 153.718 
point 48 387 169.933 194.572 
point 49 396 379.316 177.012 
point 50 398 193.039 206.353 
point 51 401 463.309 219.877 
point 52 407 555.525 219.572 
point 53 418 557.769 225.518 
point 54 425 11.0773 239.889 
point 55 448 306.998  203.27 
point 56 456 471.791  176.48 
point 57 469 232.813 92.7814 
point 58 491  187.06 204.153 
point 59 512  497.49 151.551 
point 60 514 45.4698 177.891 
point 61 519 231.011 116.534 
point 62 533 551.485  66.236 
point 63 541 64.2708 231.329 
point 64 556 582.106 208.238 
point 65 564 520.457   199.3 
point 66 573 267.915 135.157 
point 67 588 438.064 223.961 
point 68 605 467.204 220.649 
point 69 610 55.3307 141.178 
point 70 617 146.211 139.515 
point 71 632 635.434 235.268 
point 72 644 161.244 176.238 
point 73 646  488.31 204.547 
point 74 655 291.931 226.218 
point 75 661 102.772 126.044 
point 76 667 260.28 180.63 
point 77 681 435.097 152.797 
point 78 691 4.51688 174.398 
point 79 709   435.6 69.9229 
point 80 726 135.139 202.157 
point 81 739 634.153 216.502 
point 82 749 543.911 207.121 
point 83 752 140.199 137.194 
point 84 771 448.627 206.872 
point 85 777 212.866 173.476 
point 86 778 495.532 220.819 
point 87 794 30.8782 176.869 
point 88 804 361.501 216.362 
point 89 805 184.087 178.406 
point 90 809 466.229 177.317 
point 91 837 379.323 146.119 
point 92 841 10.1502 98.0061 
point 93 843 197.712 138.341 
point 94 867 293.267 208.372 
point 95 873 18.3578 182.821 
point 96 876 101.687 128.759 
point 97 880 131.935 186.299 
point 98 881 222.404 203.964 
point 99 882 298.572 85.1458 
point 100 883 153.886 221.043 
point 101 886  359.97 187.388 
point 102 892  501.27 85.6984 
point 103 898 424.654 233.098 
point 104 926 419.245 228.561 
point 105 927 226.842 190.371 
point 106 928 346.677 200.649 
point 107 929 222.146 191.713 
point 108 939  385.8 207.33 
point 109 942 69.1151 204.762 
point 110 944 61.8368 165.713 
point 111 963 318.834 189.528 
point 112 971  303.08 182.503 
point 113 978 15.5413 205.426 
point 114 979 265.905 174.698 
point 115 989 298.747 238.099 

