seq: 169
gt_pose: 3.76802 -2.5804 1.72715
odom_pose:  3.11159 -1.60217  1.83439
point 0 3 465.987 165.768 
point 1 14 124.851 162.936 
point 2 17 299.741 113.107 
point 3 31  227.2 218.93 
point 4 42 367.588 150.226 
point 5 44 310.376 194.788 
point 6 49  431.32 169.573 
point 7 50 502.435 202.773 
point 8 57  236.95 118.053 
point 9 64 325.744 194.676 
point 10 75 438.076 212.701 
point 11 87 581.735 229.726 
point 12 109 126.213  224.58 
point 13 110 255.317 173.473 
point 14 111 149.487 232.556 
point 15 113 298.278 216.651 
point 16 115 420.187 154.633 
point 17 120 410.373 183.721 
point 18 132 277.388 206.142 
point 19 148 292.641 170.844 
point 20 156 242.376 204.944 
point 21 159 241.666 208.399 
point 22 165 205.235 188.789 
point 23 166 82.1773  201.64 
point 24 169 293.316 200.831 
point 25 175  174.49 179.728 
point 26 176 222.959  213.94 
point 27 179 303.073 202.018 
point 28 198 111.337 203.661 
point 29 200 21.1959 106.024 
point 30 202 319.377 137.497 
point 31 216 2.92335 165.523 
point 32 245  69.826 178.694 
point 33 251 155.885 231.993 
point 34 262 10.2252 141.044 
point 35 270  633.38 221.933 
point 36 276 460.438  239.62 
point 37 280 333.626 228.571 
point 38 290 432.709 115.028 
point 39 296 201.008 45.4307 
point 40 301 128.103 187.056 
point 41 302 11.2817   198.4 
point 42 303 197.315  217.79 
point 43 313 298.053 56.8102 
point 44 319 298.821 103.743 
point 45 325 383.771 215.176 
point 46 340 476.818  156.63 
point 47 341 561.449 214.129 
point 48 352 54.9418 201.586 
point 49 353 357.957 187.235 
point 50 367 271.288 150.285 
point 51 387 177.434 194.116 
point 52 396 392.125 173.158 
point 53 398 189.429 202.681 
point 54 401 485.268 218.102 
point 55 407 596.441 216.859 
point 56 418 604.032 223.302 
point 57 425 6.43995 239.884 
point 58 448 315.549 200.209 
point 59 456 497.434 169.733 
point 60 460 7.28978 205.161 
point 61 469 234.192 78.1934 
point 62 491 194.156 203.632 
point 63 512 527.912 141.171 
point 64 514 57.0485 178.467 
point 65 519 235.404 109.478 
point 66 533 617.248   25.07 
point 67 541 74.1918 231.358 
point 68 556 626.641 204.002 
point 69 564 554.109 194.411 
point 70 573 273.646 127.333 
point 71 588 465.388  221.62 
point 72 605  489.78 218.908 
point 73 610 66.2761 141.891 
point 74 617 151.945 137.517 
point 75 644 169.085 175.776 
point 76 646 529.969 197.975 
point 77 655 299.96  225.7 
point 78 658 293.172 227.475 
point 79 661 104.545 121.992 
point 80 667 266.582 177.624 
point 81 668 447.215 182.611 
point 82 681 468.002 135.969 
point 83 691 14.6575 174.592 
point 84 726 145.117 202.383 
point 85 749 581.698  202.98 
point 86 752 144.225 134.161 
point 87 765 534.78 189.44 
point 88 771 481.827 201.014 
point 89 777 215.272 168.972 
point 90 778 525.837 218.557 
point 91 794 28.5973 174.244 
point 92 804  372.95 215.052 
point 93 805 192.147 178.013 
point 94 809 489.915 171.204 
point 95 817 449.336 204.291 
point 96 837 393.109   139.1 
point 97 841 8.82236  92.947 
point 98 843 202.387 134.491 
point 99 867 300.92 206.22 
point 100 873 37.7548 184.841 
point 101 874 556.885 218.145 
point 102 876  109.01 127.835 
point 103 880 139.099 185.748 
point 104 881 229.686 203.335 
point 105 882 304.892 44.4202 
point 106 883 161.698 220.907 
point 107 886 371.573 184.237 
point 108 892 541.155 60.3959 
point 109 898 443.944 232.451 
point 110 908 3.06709 80.3287 
point 111 916  1.2361 191.849 
point 112 920 403.055 214.364 
point 113 926 435.726 227.726 
point 114 927 232.734 188.603 
point 115 928 357.699 198.109 
point 116 929 229.017  190.64 
point 117 939 400.196 204.829 
point 118 942 68.2799 203.289 
point 119 944 71.2587 165.806 
point 120 963 328.244 185.752 
point 121 971 311.272  177.13 
point 122 978  27.421 205.742 
point 123 979 273.307 172.703 
point 124 989 306.962 238.015 

