seq: 171
gt_pose:  3.68679 -2.18724  1.82213
odom_pose:    3.002 -1.25543  1.93164
point 0 3 532.244  142.98 
point 1 14 116.029   151.3 
point 2 17 316.371 91.7581 
point 3 20  571.86 214.475 
point 4 31 241.482 218.035 
point 5 42 398.597 130.495 
point 6 44 328.227 190.296 
point 7 49 470.018 157.383 
point 8 50 566.995 193.719 
point 9 57 231.873 76.2348 
point 10 64 346.561 187.156 
point 11 75 477.983 207.961 
point 12 79 504.459  195.41 
point 13 82 462.819 173.885 
point 14 109  136.19 223.882 
point 15 110 268.298 167.326 
point 16 111 166.624 232.522 
point 17 113 315.041 214.605 
point 18 115 461.938 136.259 
point 19 120 445.309  174.11 
point 20 132 292.608 203.422 
point 21 148 308.998 165.189 
point 22 156 256.615 203.095 
point 23 159 254.593  206.07 
point 24 165 215.834 185.111 
point 25 166 103.635 202.221 
point 26 169 309.488 196.659 
point 27 170 418.106 237.442 
point 28 175 189.653 178.523 
point 29 176 236.403 212.612 
point 30 179 320.244  196.14 
point 31 200 18.5405  95.963 
point 32 202 339.273 119.846 
point 33 216 18.5527  164.81 
point 34 240 274.323 194.094 
point 35 244 504.378 197.956 
point 36 245  84.725 177.825 
point 37 251 172.374 231.921 
point 38 262 24.2573 139.542 
point 39 276 510.742 239.538 
point 40 280 356.483 226.386 
point 41 290 508.096 58.1409 
point 42 300 601.733 182.201 
point 43 301 123.933 180.334 
point 44 303 211.756 217.119 
point 45 313 314.025 11.4845 
point 46 315 360.988 220.538 
point 47 319 314.801 64.0906 
point 48 325 412.933 211.359 
point 49 340 532.933 137.491 
point 50 352 72.0012   201.4 
point 51 353 383.249 179.156 
point 52 367 285.591 141.779 
point 53 387 191.658 192.836 
point 54 390 506.455 232.646 
point 55 396 422.058 163.235 
point 56 398 174.138 191.798 
point 57 401 542.345 213.187 
point 58 448 335.287 191.838 
point 59 456  568.13 149.987 
point 60 469 233.946 36.3298 
point 61 491 207.735 202.271 
point 62 512 615.424 109.682 
point 63 514 78.048 179.16 
point 64 519 243.559 91.4279 
point 65 541 92.2443 231.353 
point 66 552 5.66388 174.282 
point 67 573 285.52 106.44 
point 68 588 550.792 213.782 
point 69 590 595.611 180.937 
point 70 591 287.452 206.737 
point 71 605 548.838 214.062 
point 72 607 22.7895 236.743 
point 73 610 86.1758 142.598 
point 74 617 162.366 132.471 
point 75 630 487.928 221.834 
point 76 644 183.896 174.362 
point 77 650 5.07275 226.516 
point 78 655 316.858 224.421 
point 79 658 309.601 226.491 
point 80 661 105.775 111.951 
point 81 667 279.496 170.045 
point 82 668 489.678  172.24 
point 83 681 590.963 68.5257 
point 84 691 32.6998 174.503 
point 85 726 163.733 202.566 
point 86 750 18.3215 236.141 
point 87 752  150.88 126.657 
point 88 765 608.069 176.916 
point 89 771 598.756 178.999 
point 90 777 218.292 157.153 
point 91 778 613.144 211.682 
point 92 794  19.746 167.689 
point 93 804  399.09 211.722 
point 94 805 207.562 176.762 
point 95 809 553.336 153.795 
point 96 817 492.679 197.713 
point 97 823 518.875 174.915 
point 98 837 426.513 120.379 
point 99 841 2.26041  80.379 
point 100 843 210.937 124.954 
point 101 846 418.086 233.162 
point 102 866 463.292   180.6 
point 103 867 317.745 200.576 
point 104 876 122.315   125.1 
point 105 878 309.974 234.681 
point 106 880 152.336 184.204 
point 107 881 243.973 201.732 
point 108 883 176.395 220.488 
point 109 886 398.334 176.143 
point 110 898 494.354 230.629 
point 111 905 357.41 175.71 
point 112 908 16.2991 77.5183 
point 113 910 346.565 202.483 
point 114 911 450.271 198.593 
point 115 916 33.8513 194.113 
point 116 920  434.47 210.581 
point 117 926 476.155  225.51 
point 118 927 244.257 184.236 
point 119 928 383.194 191.509 
point 120 929  242.5 187.96 
point 121 939 435.368 198.126 
point 122 942 63.0769 199.611 
point 123 944 88.3486 165.455 
point 124 951 488.041  214.92 
point 125 963 349.964 175.669 
point 126 971 330.386 161.988 
point 127 978 48.7906 206.116 
point 128 979 288.432 167.787 
point 129 989 324.515 237.806 

