seq: 173
gt_pose:  3.56864 -1.80354   1.9171
odom_pose:   2.84188 -0.862969   2.00365
point 0 14 98.2608 134.256 
point 1 17  336.36 59.6463 
point 2 31 255.556 216.833 
point 3 36 337.747 237.094 
point 4 42 443.711 97.8542 
point 5 44 348.338 184.227 
point 6 49 523.566 138.935 
point 7 64  372.77 175.897 
point 8 68 261.93 239.65 
point 9 70 17.9717 197.559 
point 10 75 533.405 200.781 
point 11 79 567.352 185.043 
point 12 82 510.893 160.744 
point 13 92 3.34408 177.438 
point 14 109 144.436 222.946 
point 15 110 281.687 159.073 
point 16 111 182.456 232.416 
point 17 113 333.431 211.876 
point 18 115  524.31 106.159 
point 19 120 492.997 159.618 
point 20 132 308.788 199.814 
point 21 140 458.796 190.352 
point 22 148 326.725  157.68 
point 23 156 270.914  200.65 
point 24 158  365.22 181.872 
point 25 159 267.589  202.99 
point 26 165 225.686 180.246 
point 27 166 122.786 202.433 
point 28 169 327.466 190.968 
point 29 170 453.173 237.031 
point 30 175 203.886 176.658 
point 31 176 249.586 210.849 
point 32 179 340.711 187.504 
point 33 200 10.5963 82.5509 
point 34 202  364.31 93.1185 
point 35 216 31.3804 163.326 
point 36 222 563.027 235.242 
point 37 240 289.637 190.932 
point 38 244 568.953 187.825 
point 39 245 97.5436 176.307 
point 40 251 187.667  231.77 
point 41 262 35.5409 136.968 
point 42 276 587.194 239.403 
point 43 280 386.809  222.96 
point 44 301 113.582 170.858 
point 45 303 225.563 216.174 
point 46 315 384.903 218.172 
point 47 325 450.958 205.771 
point 48 331 24.8043 216.051 
point 49 340 621.025 105.272 
point 50 352 86.8004 200.832 
point 51 353 415.578 167.333 
point 52 367 300.806 130.333 
point 53 383 578.262  200.28 
point 54 387 205.004 191.006 
point 55 390  571.84 230.862 
point 56 396 460.919 148.838 
point 57 397 11.2309 185.801 
point 58 398 136.312 170.912 
point 59 401 631.223 204.998 
point 60 447 537.919 189.544 
point 61 448 361.397 178.228 
point 62 454 320.494 183.395 
point 63 491 220.642 200.413 
point 64 495 268.601 177.871 
point 65 506 276.499 212.253 
point 66 514  96.578 179.263 
point 67 519 250.696 65.5931 
point 68 541 108.195 231.265 
point 69 552 44.6505 178.837 
point 70 573  298.54 74.0035 
point 71 581 408.882 239.636 
point 72 591 303.471  204.15 
point 73 607 43.5184  236.77 
point 74 610 103.781 142.368 
point 75 617 171.389 125.745 
point 76 623  4.1548 177.519 
point 77 630 544.247 217.889 
point 78 644 197.723 172.229 
point 79 655 335.466 222.711 
point 80 658  327.36 225.189 
point 81 661 103.196 98.5068 
point 82 667 293.228 159.481 
point 83 668 549.651 156.329 
point 84 691  48.037 173.769 
point 85 726 180.873 202.397 
point 86 727 24.0936  226.29 
point 87 730 597.859 204.931 
point 88 750 47.2832 236.285 
point 89 752 155.426 116.713 
point 90 777 217.771 139.405 
point 91 794 3.35666 158.762 
point 92 803   529.3 191.063 
point 93 804 431.773 207.007 
point 94 805 222.241 174.834 
point 95 817 554.349 187.557 
point 96 823 589.203 158.524 
point 97 837 472.946 91.3724 
point 98 843  218.31 112.158 
point 99 846 454.112 232.006 
point 100 866 512.621 168.361 
point 101 867 337.999 192.103 
point 102 876 133.941 121.056 
point 103 878  327.72 234.204 
point 104 880  164.23 181.999 
point 105 881  258.09 199.585 
point 106 883 190.025 219.856 
point 107 886 432.432 164.462 
point 108 898 574.553 227.487 
point 109 905 380.757 168.075 
point 110 908 26.6766 72.9345 
point 111 910 368.521 198.162 
point 112 911 493.735  190.98 
point 113 916 61.8858 195.772 
point 114 920 475.425   205.1 
point 115 926 532.998 222.109 
point 116 927 255.566 178.411 
point 117 928 416.022 181.778 
point 118 929 255.822 184.417 
point 119 939 484.937 187.642 
point 120 942 51.7043 194.606 
point 121 944 103.346  164.37 
point 122 951 544.761 209.422 
point 123 958 4.96329 105.535 
point 124 963 378.296  160.02 
point 125 967 240.695 199.429 
point 126 971 356.573 135.853 
point 127 978 67.3963  206.16 
point 128 979 304.348 161.294 
point 129 989 344.351 237.522 

