seq: 176
gt_pose: 3.32461 -1.2533 2.05956
odom_pose:   2.54942 -0.336817   2.15857
point 0 7 348.372  181.46 
point 1 14 37.1043  87.362 
point 2 21 354.274 206.442 
point 3 31 276.859  214.27 
point 4 36 370.387 236.559 
point 5 37 380.206 230.004 
point 6 44 386.153 170.227 
point 7 53  415.96 212.263 
point 8 61 494.568 168.291 
point 9 64 435.551 143.245 
point 10 68 284.486 239.617 
point 11 71 557.558 162.003 
point 12 77 398.405 234.228 
point 13 82 632.343 124.241 
point 14 89 427.495 234.631 
point 15 92 23.4202 175.807 
point 16 109 153.212 220.941 
point 17 110 303.656 140.329 
point 18 111 204.313 232.109 
point 19 113 366.472 205.757 
point 20 120 620.184  116.85 
point 21 132 336.473 191.845 
point 22 134 483.218 171.463 
point 23 140 537.362 173.537 
point 24 148 357.924 141.057 
point 25 156 293.205  195.44 
point 26 158 404.096 169.947 
point 27 159 287.944 196.262 
point 28 161 482.762 178.997 
point 29 165 239.059 169.635 
point 30 166 148.063 202.079 
point 31 169 360.854 177.571 
point 32 170 531.373 235.997 
point 33 175  223.93 172.393 
point 34 176 269.389 207.094 
point 35 179  385.26 163.557 
point 36 202 425.021 13.4553 
point 37 216 45.5541 159.466 
point 38 232 614.179 237.917 
point 39 240  314.22 184.194 
point 40 245 113.088 172.625 
point 41 251 208.874 231.375 
point 42 262  47.325 130.768 
point 43 280 469.283 211.814 
point 44 301 77.0165 146.948 
point 45 303 245.531 214.116 
point 46 304 380.337  169.81 
point 47 315 431.454 212.727 
point 48 325 543.707 190.387 
point 49 331 65.2699 217.186 
point 50 343  479.04 226.571 
point 51 352 105.179 199.197 
point 52 353 492.519 134.829 
point 53 357 589.926 234.935 
point 54 367  327.06 104.198 
point 55 387 223.746 186.985 
point 56 396 554.243 110.015 
point 57 397  62.757 190.331 
point 58 445  624.76 170.575 
point 59 448 436.182 129.255 
point 60 454 349.469  174.61 
point 61 491 239.114 196.428 
point 62 495 291.496 171.508 
point 63 506 299.884 209.082 
point 64 514 120.545 178.315 
point 65 521 525.252 193.899 
point 66 541 128.721 230.965 
point 67 555 24.5765 230.279 
point 68 578 309.481 210.921 
point 69 579 572.029 201.105 
point 70 581 463.325 239.539 
point 71 586 567.358 202.188 
point 72 591 329.934 198.599 
point 73 603 431.448 183.496 
point 74 607 69.5549 236.752 
point 75 610 126.591 140.229 
point 76 617 182.089 111.371 
point 77 623 56.5662 182.795 
point 78 644 217.019  167.41 
point 79 655 369.118 218.862 
point 80 658 358.436 222.326 
point 81 661 88.8049 68.2922 
point 82 667 317.286 133.438 
point 83 691 66.4311 171.366 
point 84 717  486.16 184.401 
point 85 719 24.3699 171.736 
point 86 726 204.486 201.458 
point 87 735 17.2697  231.85 
point 88 750 83.8273 236.421 
point 89 752 157.085 94.9989 
point 90 777 202.717 87.6019 
point 91 804 504.932  194.96 
point 92 805 243.377 170.435 
point 93 806 325.106 238.442 
point 94 820 41.7474 189.306 
point 95 843 226.512 83.1703 
point 96 846 536.239 229.034 
point 97 848 7.59774 202.245 
point 98 866 639.903 133.663 
point 99 867 383.684 167.382 
point 100 876 148.339 112.002 
point 101 878 358.458 233.164 
point 102 880 179.722 177.152 
point 103 881 279.553 195.011 
point 104 883 208.841 218.426 
point 105 886 512.069 133.333 
point 106 905 425.781   150.6 
point 107 908   36.79 62.1392 
point 108 910   410.1 188.343 
point 109 911 598.503 170.664 
point 110 916 97.4695 197.325 
point 111 920 574.085 190.378 
point 112 927 272.567 165.394 
point 113 928 495.532 154.549 
point 114 929 276.075 176.857 
point 115 939 629.344 153.724 
point 116 942 15.9801 182.921 
point 117 944 122.364 161.237 
point 118 958 32.3205 105.371 
point 119 963 452.638 110.389 
point 120 967   262.5 196.376 
point 121 971 444.619 22.4987 
point 122 974 12.9601 231.922 
point 123 978 90.9289 205.605 
point 124 979 331.082 147.147 
point 125 989  382.01 236.855 
point 126 997 337.979 235.805 

