seq: 178
gt_pose:   3.11952 -0.908151   2.15454
odom_pose:    2.31505 -0.0207949    2.24535
point 0 7  370.94 174.186 
point 1 21 377.589 202.243 
point 2 31 291.689 211.856 
point 3 36 397.695 236.023 
point 4 37 407.347 228.661 
point 5 44 421.084 154.941 
point 6 53 451.665 207.564 
point 7 61 552.073 152.801 
point 8 64 524.184 90.4305 
point 9 68 300.232 239.586 
point 10 77 428.889 233.392 
point 11 89 465.167 233.718 
point 12 92 33.2967 173.841 
point 13 106 477.205 235.844 
point 14 109 156.148 219.038 
point 15 110 320.948 120.355 
point 16 111 217.936 231.791 
point 17 113 395.147 199.364 
point 18 132 359.112 183.713 
point 19 134 541.564 155.425 
point 20 140 626.425  152.76 
point 21 148 384.251 124.028 
point 22 156 309.317 190.471 
point 23 158 438.408 157.696 
point 24 159 302.861 189.522 
point 25 161 536.113 166.388 
point 26 165 246.923 159.044 
point 27 166 163.051 201.378 
point 28 169 391.689 162.475 
point 29 170 621.177   234.7 
point 30 175 236.692 168.319 
point 31 176  283.06 203.519 
point 32 179 440.183 127.989 
point 33 216 51.5133 155.588 
point 34 218 28.2136 233.325 
point 35 240 332.617 177.747 
point 36 245 120.976 169.021 
point 37 251 222.149  230.98 
point 38 262 51.5032 124.711 
point 39 280 621.336  188.73 
point 40 301 22.4642 116.863 
point 41 303 258.664 212.182 
point 42 304 408.039 159.883 
point 43 315 475.837   206.8 
point 44 331 88.0628 217.628 
point 45 343 536.384 223.432 
point 46 352 115.007 197.497 
point 47 353 594.124 87.2988 
point 48 367  349.07 76.1131 
point 49 379 617.821 169.272 
point 50 387 235.611 183.194 
point 51 397 91.0671 192.427 
point 52 449 506.886 172.557 
point 53 454 372.459 166.072 
point 54 491 251.084 192.681 
point 55 495 307.703 165.538 
point 56 503  11.145 186.308 
point 57 506 316.753 206.093 
point 58 514  134.35 176.903 
point 59 521 596.661  182.39 
point 60 541 140.366 230.638 
point 61 543 17.9918 212.532 
point 62 549 630.677 235.388 
point 63 555 51.5257 230.579 
point 64 578 327.195 208.268 
point 65 581 517.549 239.429 
point 66 591 350.465 193.204 
point 67 603  471.23 173.247 
point 68 607 84.0116   236.7 
point 69 610 139.729 137.502 
point 70 617 186.968 97.6746 
point 71 623 85.2892 185.239 
point 72 627 449.564 178.764 
point 73 644  229.15 162.827 
point 74 655 398.589 214.815 
point 75 658 384.411 219.424 
point 76 661 67.6793 36.6906 
point 77 667 338.608 101.862 
point 78 691 75.7323 168.771 
point 79 717 543.274 171.971 
point 80 719  56.713 175.171 
point 81 726 219.205  200.33 
point 82 735 53.5453 232.361 
point 83 750 104.649 236.465 
point 84 752 153.171  73.313 
point 85 777 164.794 2.77941 
point 86 804 590.394 179.459 
point 87 805 257.214 166.238 
point 88 806 344.436 238.281 
point 89 820  66.928 190.645 
point 90 843  229.09 52.4281 
point 91 846  634.11 225.174 
point 92 848 39.0033 203.907 
point 93 867 445.272 126.921 
point 94 876 155.839 103.403 
point 95 878  383.74 232.128 
point 96 880 188.491 172.577 
point 97 881 294.575 190.699 
point 98 883 220.501 217.065 
point 99 886 612.325 90.2789 
point 100 905 468.181 131.742 
point 101 908 39.5406 51.6764 
point 102 910 448.422  177.86 
point 103 916 117.881 197.815 
point 104 927 284.375 151.874 
point 105 928 604.117 113.419 
point 106 929  290.28 169.622 
point 107 944 132.881 157.978 
point 108 958 47.1326   103.6 
point 109 963 580.533 13.5076 
point 110 967 277.167 193.492 
point 111 968 368.134 177.183 
point 112 974 37.8251 232.101 
point 113 978 104.056 204.796 
point 114 979 352.368 133.025 
point 115 989 417.479 236.109 
point 116 997 358.715 235.355 

