seq: 179
gt_pose:   3.00492 -0.743267   2.20203
odom_pose:   2.1794 0.139847  2.28932
point 0 7 383.841 169.554 
point 1 15 551.246 173.818 
point 2 21 390.977 199.567 
point 3 31 299.468 210.358 
point 4 36 414.078  235.67 
point 5 37 423.304 227.797 
point 6 44 443.922 144.068 
point 7 53 473.878 204.421 
point 8 61 590.808 141.838 
point 9 64 615.364 33.0194 
point 10 68 308.496 239.567 
point 11 77 447.172 232.849 
point 12 89  488.71 233.107 
point 13 92 37.1773 172.559 
point 14 106 501.313 235.454 
point 15 109 156.504 217.849 
point 16 110 331.077 106.461 
point 17 111 224.536 231.591 
point 18 113 412.953 194.995 
point 19 130 541.051 180.826 
point 20 131 16.1912 175.461 
point 21 132 372.572  178.27 
point 22 134 581.713 143.812 
point 23 135 613.774 203.922 
point 24 136 620.595 181.695 
point 25 148 400.229  112.59 
point 26 156 318.013 187.343 
point 27 157 520.563 237.598 
point 28 158 459.808 149.443 
point 29 159 311.058 185.086 
point 30 161 571.539 157.567 
point 31 165 250.462 152.094 
point 32 166 170.075 200.877 
point 33 169 412.085 151.423 
point 34 175 242.962 165.817 
point 35 176 290.198 201.274 
point 36 179  489.66 93.2006 
point 37 216 53.3537 153.173 
point 38 218 45.1804 233.511 
point 39 240 342.787 173.674 
point 40 245 124.129 166.794 
point 41 251 228.596 230.734 
point 42 262 52.3494 120.963 
point 43 303 265.271 210.993 
point 44 304 424.462 153.449 
point 45 315 505.335 202.596 
point 46 331 98.4545 217.765 
point 47 343 575.798  221.16 
point 48 352 119.189 196.429 
point 49 367 362.562 56.4274 
point 50 387 241.411 180.866 
point 51 397 103.849  193.25 
point 52 449 534.992 165.792 
point 53 454 385.7 160.6 
point 54 491 257.038 190.366 
point 55 495 316.294  161.85 
point 56 503 23.6913 186.911 
point 57 506 325.821 204.236 
point 58 514 140.668 175.939 
point 59 541 145.608  230.43 
point 60 543 34.0399 213.182 
point 61 555 63.6619 230.689 
point 62 578 336.751 206.625 
point 63 581 554.83 239.35 
point 64 591 362.126 189.746 
point 65 596  285.26 214.882 
point 66 603 496.481 166.293 
point 67 607 90.4491 236.661 
point 68 610 145.734 135.701 
point 69 617 188.555 89.0736 
point 70 622  324.53 171.606 
point 71 623 98.2378 186.199 
point 72 627 469.678  173.65 
point 73 644 235.053 160.013 
point 74 655 417.026 212.032 
point 75 658 400.036 217.493 
point 76 661 51.3871  15.087 
point 77 667  352.73 77.0624 
point 78 691 79.4777 167.124 
point 79 717 582.066 163.089 
point 80 719 71.1369 176.544 
point 81 726 226.344 199.595 
point 82 750   114.2 236.474 
point 83 752 148.962 59.0828 
point 84 805 264.152 163.662 
point 85 806 355.093 238.181 
point 86 820  78.325 191.117 
point 87 831 634.797 235.626 
point 88 843 228.987 31.1398 
point 89 848 53.0231 204.561 
point 90 867 507.935 82.2626 
point 91 868 514.078 206.586 
point 92 872 603.393 162.259 
point 93 876 158.897 98.1131 
point 94 878 398.729 231.448 
point 95 880  192.38 169.762 
point 96 881 302.486  188.02 
point 97 883  226.11 216.229 
point 98 905 496.079  118.47 
point 99 908 39.5396 45.2121 
point 100 910 473.239 170.555 
point 101 916 127.285 197.907 
point 102 927 290.618 142.683 
point 103 929  297.79 165.053 
point 104 944   137.5 155.932 
point 105 958 53.5974 102.189 
point 106 967 284.662 191.723 
point 107 968 380.262 173.364 
point 108 974 49.0056  232.16 
point 109 978 109.908 204.245 
point 110 979  364.74 123.755 
point 111 989  441.15 235.567 
point 112 997 370.289 235.073 

