seq: 180
gt_pose:   2.88262 -0.584007   2.24951
odom_pose:  2.06688 0.262359  2.34094
point 0 7 398.238 164.026 
point 1 15 587.993  166.01 
point 2 21 405.965 196.371 
point 3 31 307.598 208.613 
point 4 36 433.107 235.235 
point 5 37  441.49 226.757 
point 6 44 472.621 129.694 
point 7 53 500.406 200.499 
point 8 68 317.126 239.545 
point 9 77 468.339 232.188 
point 10 89 516.912 232.344 
point 11 92 40.3274 171.051 
point 12 106 530.067  234.97 
point 13 109 155.946 216.455 
point 14 110 342.797  88.485 
point 15 111 231.025  231.36 
point 16 113 434.321 189.434 
point 17 130 575.149 174.219 
point 18 131 35.0883 177.612 
point 19 132 388.171 171.477 
point 20 134 634.149 128.191 
point 21 148 419.024 98.2655 
point 22 156 327.313 183.648 
point 23 157 551.435 237.341 
point 24 158 485.455 139.082 
point 25 159 319.999 179.631 
point 26 161 616.236  146.09 
point 27 165 253.671 143.576 
point 28 166 176.815 200.266 
point 29 169 438.177 136.391 
point 30 175 249.191 162.944 
point 31 176 297.645 198.627 
point 32 179 580.926 26.1825 
point 33 216 54.3616 150.387 
point 34 218 60.8535 233.673 
point 35 240 353.858 168.848 
point 36 245 126.71 164.23 
point 37 251 234.948 230.451 
point 38 262 52.2654 116.646 
point 39 303 271.955 209.622 
point 40 304 443.314 145.646 
point 41 310 551.663 169.141 
point 42 315 542.757 197.053 
point 43 320 440.245 233.157 
point 44 331 108.262 217.847 
point 45 343 627.228 218.105 
point 46 352 122.862 195.195 
point 47 367 378.725 30.7715 
point 48 387 247.148 178.184 
point 49 397 115.862 193.939 
point 50 411 570.305  230.29 
point 51 449 569.054 157.301 
point 52 454 400.572 154.031 
point 53 487  573.27 176.552 
point 54 491 263.01 187.68 
point 55 495 325.338 157.573 
point 56 503 35.3661 187.375 
point 57 506 335.473 202.068 
point 58 514 146.617 174.785 
point 59 541 150.466 230.189 
point 60 543 48.9048 213.742 
point 61 555 75.0285 230.776 
point 62 578  346.94 204.715 
point 63 581 603.563 239.243 
point 64 591 375.097 185.595 
point 65 596 293.139 214.035 
point 66 599 332.822 214.989 
point 67 603 527.152 157.501 
point 68 607 96.3802 236.613 
point 69 610 151.378 133.574 
point 70 617 189.441 78.9424 
point 71 622 333.841 168.512 
point 72 623 110.394 187.004 
point 73 627 493.112 167.416 
point 74 628  532.14 215.796 
point 75 644 240.872  156.78 
point 76 655 439.298 208.472 
point 77 658 418.265 215.095 
point 78 667 371.313 40.7685 
point 79 691 82.5913 165.211 
point 80 704 544.015 198.158 
point 81 710 0.428701  161.342 
point 82 717 632.072 151.295 
point 83 719 84.5864 177.717 
point 84 723 624.203 237.345 
point 85 726 233.374 198.734 
point 86 750 123.247 236.475 
point 87 752 142.663 41.6427 
point 88 805 271.152 160.705 
point 89 806 366.649 238.063 
point 90 820 89.0327 191.465 
point 91 843 227.481 3.71605 
point 92 848 66.0937 205.111 
point 93 868  543.34 203.161 
point 94 876 161.443 92.0218 
point 95 878 415.986 230.615 
point 96 880  195.91 166.516 
point 97 881 310.781 184.893 
point 98 883  231.59 215.269 
point 99 905 531.151 101.106 
point 100 908 38.4946 37.7644 
point 101 910 504.025 161.085 
point 102 916 136.224 197.899 
point 103 927 297.243 131.046 
point 104 929   305.7 159.642 
point 105 944 141.683 153.567 
point 106 958 59.4555 100.405 
point 107 967 292.334  189.69 
point 108 968 393.581 168.872 
point 109 974 59.4523   232.2 
point 110 978 115.296 203.588 
point 111 979 378.793 112.385 
point 112 989 471.538 234.833 
point 113 997 382.954 234.741 

