seq: 181
gt_pose:    2.7529 -0.430731     2.297
odom_pose: 1.89828 0.42243 2.41762
point 0 7 414.593 157.342 
point 1 15 634.258 155.889 
point 2 21 423.047 192.503 
point 3 31 316.191 206.564 
point 4 34 14.1093 210.178 
point 5 36 455.781 234.689 
point 6 37 462.628 225.484 
point 7 39 397.606 176.355 
point 8 44 510.478 109.872 
point 9 53 533.012 195.484 
point 10 68 326.228  239.52 
point 11 77  493.39 231.369 
point 12 89 551.679 231.368 
point 13 92 42.7137 169.296 
point 14 106 565.293 234.356 
point 15 109 154.285 214.806 
point 16 110 356.929 64.4004 
point 17 111 237.427 231.094 
point 18 113 460.893 182.142 
point 19 130 617.523 165.753 
point 20 131 52.4238 179.487 
point 21 132 406.799  162.79 
point 22 148 441.821 79.8699 
point 23 156 337.406 179.239 
point 24 157 589.384 237.015 
point 25 158 517.151 125.732 
point 26 159 329.984 172.787 
point 27 165 256.461 132.933 
point 28 166 183.294 199.539 
point 29 169  473.65 114.826 
point 30 175 255.406 159.639 
point 31 176 305.507 195.476 
point 32 186 274.396 179.705 
point 33 216 54.4596 147.177 
point 34 218 75.4003 233.813 
point 35 240 366.104 163.066 
point 36 245 128.672 161.281 
point 37 251 241.226 230.127 
point 38 262 51.1454 111.672 
point 39 303 278.764 208.035 
point 40 304 465.425 136.025 
point 41 310 588.435 160.789 
point 42 315 592.488 189.434 
point 43 320 459.344 232.599 
point 44 331  117.54 217.877 
point 45 352 126.004 193.773 
point 46 387 252.845 175.084 
point 47 411 609.856 229.123 
point 48 449  611.58 146.367 
point 49 454 417.598 146.032 
point 50 487 614.752 168.543 
point 51 491 269.035 184.546 
point 52 495 334.962  152.58 
point 53 503 46.2494 187.706 
point 54 506 345.875 199.517 
point 55 514 152.207 173.427 
point 56 516 628.963 211.365 
point 57 517  585.42 183.131 
point 58 541 154.934 229.909 
point 59 543 62.7296 214.218 
point 60 555  85.702 230.839 
point 61 577  11.323 227.885 
point 62 578 357.932 202.479 
point 63 591 389.807 180.541 
point 64 596 301.214 213.064 
point 65 599 342.576 213.772 
point 66 603 565.633 146.071 
point 67 607 101.813 236.554 
point 68 610 156.668 131.092 
point 69 617 189.481 66.8918 
point 70 622 343.678  164.94 
point 71 623 121.849 187.665 
point 72 627 521.035  159.68 
point 73 628 564.664 213.158 
point 74 644 246.628 153.057 
point 75 655 467.227  203.77 
point 76 658 440.137 212.049 
point 77 691 85.0386 163.001 
point 78 704 578.711 193.437 
point 79 710 19.6636 163.907 
point 80 719 97.1778 178.705 
point 81 726 240.321 197.734 
point 82 750 131.835 236.467 
point 83 752 133.563  19.853 
point 84 805 278.259 157.306 
point 85 806 379.355 237.924 
point 86 820 99.1178 191.695 
point 87 848 78.3208 205.563 
point 88 868 578.978 198.845 
point 89 876 163.424 84.9876 
point 90 878 436.344 229.575 
point 91 880 199.048 162.758 
point 92 881 319.579 181.215 
point 93 883 236.953 214.163 
point 94 905 577.216 77.4855 
point 95 908 36.2747 29.1742 
point 96 910 543.808 148.364 
point 97 916 144.739 197.792 
point 98 927  304.45 115.891 
point 99 929  314.15 153.161 
point 100 937 307.636 236.055 
point 101 944 145.414 150.842 
point 102 958 64.7132 98.2225 
point 103 967 300.244 187.349 
point 104 968 408.421 163.536 
point 105 974 69.2279 232.221 
point 106 978 120.223 202.814 
point 107 979 395.159 98.1671 
point 108 989 512.858 233.789 
point 109 997 397.015 234.347 

