seq: 182
gt_pose:   2.61656 -0.284301   2.34408
odom_pose: 1.73082 0.56316 2.45932
point 0 7 433.428 149.176 
point 1 21 442.789 187.773 
point 2 31 325.308 204.146 
point 3 34 32.8393 211.156 
point 4 36 483.458  233.99 
point 5 37 487.599 223.909 
point 6 39 411.889 172.126 
point 7 44 563.431 81.0493 
point 8 53 574.245 188.915 
point 9 63  303.24 214.401 
point 10 68 335.852  239.49 
point 11 77 523.614  230.34 
point 12 89 595.774 230.089 
point 13 90 3.73883 192.457 
point 14 92 44.1359 167.246 
point 15 106 609.568 233.559 
point 16 109  151.19 212.838 
point 17 110 374.813 30.7279 
point 18 111 243.69 230.79 
point 19 113 495.245 172.253 
point 20 131  68.229 181.093 
point 21 132 429.737 151.388 
point 22 148 470.364 55.6009 
point 23 156  348.46 173.931 
point 24 157 637.231 236.591 
point 25 158 557.573 108.057 
point 26 159 341.384 164.017 
point 27 165 258.634 119.349 
point 28 166 189.437 198.681 
point 29 169 525.849 81.5933 
point 30 175 261.565 155.837 
point 31 176 313.855 191.693 
point 32 186 281.946 177.836 
point 33 191 579.298 219.528 
point 34 216 53.4089  143.46 
point 35 218 88.798 233.93 
point 36 240 379.802 156.076 
point 37 245  129.85 157.876 
point 38 251 247.381 229.755 
point 39 262 48.7165 105.903 
point 40 303 285.682 206.193 
point 41 304 491.843 123.984 
point 42 310 634.358 150.045 
point 43 320 481.313 231.925 
point 44 331 126.208 217.848 
point 45 352 128.473  192.13 
point 46 387 258.453  171.49 
point 47 389  10.449 191.531 
point 48 454 437.399 136.172 
point 49 458 472.143 207.735 
point 50 491 275.084 180.871 
point 51 495 345.242 146.733 
point 52 503 56.2355  187.89 
point 53 506 357.153 196.501 
point 54 514 157.343 171.835 
point 55 517 628.913 175.833 
point 56 541 158.906 229.587 
point 57 543 75.4652 214.609 
point 58 555    95.6 230.877 
point 59 577 24.9146 228.067 
point 60 578 369.853 199.852 
point 61 591  406.75 174.308 
point 62 596 309.471 211.952 
point 63 599 352.876 212.369 
point 64 603 615.562 130.765 
point 65 607 106.625 236.485 
point 66 610 161.509 128.203 
point 67 617 188.401 52.4094 
point 68 622 354.087 160.815 
point 69 623 132.553 188.174 
point 70 627 554.956 149.926 
point 71 628 604.525  209.82 
point 72 644 252.268 148.764 
point 73 655 503.728 197.331 
point 74 658 467.127 208.087 
point 75 675 621.577 184.852 
point 76 691 86.6468  160.44 
point 77 704 621.592 187.422 
point 78 710 37.0846 166.105 
point 79 715 6.34805 238.791 
point 80 719 108.865 179.503 
point 81 726 247.138 196.579 
point 82 750 139.886 236.451 
point 83 805 285.448 153.398 
point 84 806 393.438 237.758 
point 85 820 108.499 191.794 
point 86 848 89.6392 205.913 
point 87 868  623.39 193.302 
point 88 876  164.68 76.8283 
point 89 878 460.915  228.25 
point 90 880 201.673  158.39 
point 91 881 328.954 176.867 
point 92 883 242.138 212.887 
point 93 908 32.5677 19.1949 
point 94 910 597.665 130.548 
point 95 916 152.757 197.575 
point 96 927 312.486 95.4904 
point 97 929 323.248 145.323 
point 98 937 316.143 235.895 
point 99 944 148.573 147.699 
point 100 958 69.2228 95.5747 
point 101 967 308.394  184.65 
point 102 968 425.108 157.159 
point 103 972 448.748 184.869 
point 104 974  78.23 232.22 
point 105 978 124.571 201.905 
point 106 979 414.669 80.0348 
point 107 989 573.334 232.201 
point 108 997 412.771 233.876 

