seq: 184
gt_pose:    2.32289 -0.0101943    2.43741
odom_pose:  1.42193 0.786062  2.56348
point 0 7 483.038 125.832 
point 1 21 495.088 174.225 
point 2 31 346.007 197.715 
point 3 34 65.3617  212.71 
point 4 36 565.987 231.764 
point 5 37 556.519 219.276 
point 6 39 445.819 161.118 
point 7 63  320.09 212.269 
point 8 68 357.467 239.413 
point 9 77 610.663 227.208 
point 10 90 39.7741 195.311 
point 11 92 43.4891 161.996 
point 12 103 471.199 222.802 
point 13 109 138.723  207.46 
point 14 111 255.913 230.031 
point 15 113 613.823 135.915 
point 16 132 500.776 112.886 
point 17 156 375.149 159.213 
point 18 159 372.056 136.052 
point 19 165 259.878 76.4103 
point 20 166 200.764 196.488 
point 21 175 273.866 146.243 
point 22 176 332.946 181.257 
point 23 180 601.705 169.124 
point 24 186  297.31 173.209 
point 25 190 591.077 230.896 
point 26 214 603.433 191.127 
point 27 216 46.8991 133.976 
point 28 218 112.721 234.105 
point 29 226 404.691 172.812 
point 30 233 297.818 234.245 
point 31 239 570.365  200.45 
point 32 240 414.087 136.522 
point 33 245 129.268 149.227 
point 34 251 259.432 228.826 
point 35 262 38.7058  91.109 
point 36 303  300.16 201.457 
point 37 304 566.611 87.7049 
point 38 320 538.566  230.05 
point 39 324 581.285 192.855 
point 40 331 141.891 217.606 
point 41 346 342.297 185.181 
point 42 352 131.005 187.984 
point 43 358  34.568 176.618 
point 44 387 269.502  162.28 
point 45 393  486.07 223.771 
point 46 405 339.235 184.705 
point 47 439 584.051 205.957 
point 48 440 636.337 153.949 
point 49 450 478.608 187.037 
point 50 454 490.651 107.433 
point 51 458 522.229  201.22 
point 52 491  287.48 171.217 
point 53 495 368.778 131.424 
point 54 499 335.381 209.368 
point 55 503 73.7198 187.799 
point 56 505 488.969 203.027 
point 57 506 383.713 188.446 
point 58 514 166.189 167.784 
point 59 541 165.184 228.776 
point 60 543 98.1507 215.153 
point 61 545 8.79418 193.794 
point 62 555 113.311 230.876 
point 63 569 602.361 200.379 
point 64 577 48.7179 228.315 
point 65 578  397.86 192.926 
point 66 591 451.696 156.119 
point 67 596 326.906 209.188 
point 68 599 375.871 208.814 
point 69 607 114.237 236.304 
point 70 610 169.752 120.901 
point 71 617 181.312 12.3164 
point 72 622 377.421 150.332 
point 73 640 589.747 221.285 
point 74 644 263.287 137.886 
point 75 655 633.341 173.047 
point 76 658 550.137 195.012 
point 77 669 427.213 236.343 
point 78 678 524.116 172.342 
point 79 691 86.8149 153.941 
point 80 710 67.5006 169.569 
point 81 715 42.5439 238.865 
point 82 719 129.941 180.563 
point 83 726 260.524 193.699 
point 84 750 154.515 236.387 
point 85 770 30.7264 162.658 
point 86 805 300.364 143.561 
point 87 806  427.89 237.308 
point 88 820 125.364  191.59 
point 89 848 109.908 206.313 
point 90 853 577.618 181.589 
point 91 854 349.074 225.156 
point 92 863 26.2695 136.134 
point 93 876 164.405 55.8657 
point 94 877 449.461 193.503 
point 95 878 532.577 224.098 
point 96 880 204.986  147.11 
point 97 881 350.406 165.253 
point 98 883 251.992 209.651 
point 99 897 531.734 191.001 
point 100 907 589.322  222.53 
point 101 916 167.453 196.782 
point 102 927 333.998 21.8702 
point 103 929 344.635 123.371 
point 104 937 334.183 235.497 
point 105 944 152.882 139.783 
point 106 947 522.794 183.419 
point 107 952 1.60791 197.047 
point 108 958 75.7699 88.5638 
point 109 967 325.856 177.821 
point 110 968 466.919 139.762 
point 111 972 491.368 174.825 
point 112 973 34.5936 176.025 
point 113 974 94.0641 232.151 
point 114 978 131.358 199.586 
point 115 979 470.659   22.92 
point 116 997 452.048 232.591 

