seq: 185
gt_pose:  2.16678 0.116289  2.48407
odom_pose:  1.27009 0.877922  2.63848
point 0 7 517.773 108.439 
point 1 21 531.926 164.099 
point 2 31 358.304 193.363 
point 3 34 79.8667 213.339 
point 4 36 633.982 229.845 
point 5 37 607.466 215.685 
point 6 39 466.703 153.826 
point 7 63 329.078 210.959 
point 8 68 370.064 239.362 
point 9 80 11.8895 229.792 
point 10 88 275.998 237.474 
point 11 90 55.6983  196.47 
point 12 92 41.5774 158.768 
point 13 103 494.303 221.219 
point 14 109 128.205 203.729 
point 15 111 262.038 229.565 
point 16 132  563.61 76.7581 
point 17 156  392.21 148.705 
point 18 159 395.269 111.977 
point 19 165 257.837 40.0015 
point 20 166 206.119 195.142 
point 21 175 280.198   140.2 
point 22 176 344.512 173.866 
point 23 186 305.322 170.377 
point 24 190  636.78 229.677 
point 25 216 41.3767 128.061 
point 26 218 123.678  234.17 
point 27 226 419.691  168.11 
point 28 229  461.13 205.011 
point 29 233 305.883  234.02 
point 30 239 610.333 195.608 
point 31 240 436.815 122.385 
point 32 245 127.461  143.81 
point 33 251 265.496 228.252 
point 34 262 30.9174 81.7881 
point 35 264 617.518 186.278 
point 36 303 308.018 198.394 
point 37 304 623.769 58.6739 
point 38 320 577.843 228.698 
point 39 324 624.516 186.746 
point 40 331 149.181 217.404 
point 41 346   352.4 182.409 
point 42 352 131.135 185.423 
point 43 358 51.6241 178.491 
point 44 387 275.117 156.355 
point 45 393 510.892 222.242 
point 46 405 349.152 181.976 
point 47 439 626.095 201.737 
point 48 450 502.821 182.025 
point 49 454 528.964  85.469 
point 50 458 555.198 196.694 
point 51 464 501.516 235.192 
point 52 491 294.086 164.803 
point 53 495 382.799 121.252 
point 54 499 345.155 207.813 
point 55 503 81.6225 187.571 
point 56 505 514.021 199.552 
point 57 506 400.069 182.959 
point 58 514 170.066 165.301 
point 59 541 167.605 228.277 
point 60 543 108.533 215.333 
point 61 545 28.0495 195.375 
point 62 555 121.464 230.843 
point 63 577 59.4711 228.395 
point 64 578 414.989  188.28 
point 65 591 483.668 142.212 
point 66 596 336.366 207.472 
point 67 599 389.112 206.545 
point 68 600 18.0565 200.134 
point 69 607  117.25 236.192 
point 70 610 173.308 116.428 
point 71 622 390.922 143.614 
point 72 640 633.414 218.903 
point 73 644 268.829 130.997 
point 74 658 621.955 183.138 
point 75 669 444.735 236.057 
point 76 678 556.439 164.716 
point 77 691 85.4591 149.934 
point 78 710 81.1438 170.954 
point 79 715 58.5306 238.895 
point 80 719 139.688  180.88 
point 81 726 267.265 191.939 
point 82 750 161.341 236.341 
point 83 770 47.1627 164.736 
point 84 805 308.345 137.369 
point 85 806 449.965 236.997 
point 86 820 133.158 191.318 
point 87 844 16.4353 223.972 
point 88 847 424.939 213.129 
point 89 848 119.236 206.396 
point 90 853 618.201 174.494 
point 91 854 359.675 224.345 
point 92 863 39.2032 137.581 
point 93 876 162.732 42.4478 
point 94 877 469.173 189.697 
point 95 878 590.016 220.594 
point 96 880 205.601 139.819 
point 97 881 363.266 157.348 
point 98 883 256.794 207.602 
point 99 897 564.195 185.632 
point 100 907 632.677 220.322 
point 101 916 174.364 196.222 
point 102 929  358.02 107.514 
point 103 937 344.005  235.25 
point 104 944 154.116 134.898 
point 105 947  554.01 177.294 
point 106 952 20.8175 198.473 
point 107 958 78.0641 84.2242 
point 108 967 335.518 173.483 
point 109 968 494.383 127.548 
point 110 972 518.571 168.013 
point 111 973 50.3909  177.62 
point 112 974 101.245 232.088 
point 113 978  133.97 198.163 
point 114 984 512.362 178.993 
point 115 997 477.732 231.688 

