seq: 187
gt_pose: 1.83773 0.34674  2.5774
odom_pose: 0.897459  1.06492  2.74161
point 0 7 630.378 48.9003 
point 1 31  389.74 180.758 
point 2 39 521.419 133.407 
point 3 63 348.713 207.691 
point 4 68 401.091 239.224 
point 5 80 37.4918 230.056 
point 6 88 291.152 237.306 
point 7 90 84.2275 198.345 
point 8 92 33.8026 150.739 
point 9 103 555.162 216.793 
point 10 109 91.7837 192.484 
point 11 111 274.488   228.4 
point 12 156 440.971 115.429 
point 13 166 216.247 191.829 
point 14 175 293.544 124.518 
point 15 176 375.53 150.79 
point 16 186 322.372  163.36 
point 17 216  24.198 112.967 
point 18 218 143.938 234.256 
point 19 226 455.965 155.758 
point 20 229 506.792 198.448 
point 21 233 322.966 233.467 
point 22 240 504.864 76.6065 
point 23 245 119.729 129.883 
point 24 251 277.887 226.807 
point 25 262 7.52793 57.6229 
point 26 275 519.189 168.673 
point 27 303 325.796  190.12 
point 28 331 162.783 216.828 
point 29 346 374.956 175.448 
point 30 352 128.507 178.983 
point 31 387 286.781 140.492 
point 32 393 576.935 217.941 
point 33 402 458.039 222.912 
point 34 405 371.19 175.14 
point 35 438 576.954 188.907 
point 36 450 567.231   167.9 
point 37 464 562.385   234.1 
point 38 491 308.792 146.764 
point 39 494 261.008 194.032 
point 40 495 418.402 92.6313 
point 41 499 366.892 203.905 
point 42 503 95.9043 186.734 
point 43 505 580.672  189.78 
point 44 506  443.66 166.893 
point 45 514 176.628 159.182 
point 46 520  483.83 182.029 
point 47 539 332.465 179.085 
point 48 541  170.73 227.035 
point 49 543 127.685 215.519 
point 50 544 385.566 211.112 
point 51 555 136.532 230.714 
point 52 559  27.499 198.728 
point 53 574 21.5315 183.931 
point 54 577 79.0122 228.474 
point 55 578 459.914 175.008 
point 56 591 591.702 92.1616 
point 57 596 357.493 203.113 
point 58 599  420.95 200.536 
point 59 600 50.3616 202.131 
point 60 607 121.515 235.917 
point 61 610 179.152  105.38 
point 62 622 423.606 125.717 
point 63 631 274.566 233.379 
point 64 644 280.167 112.981 
point 65 648 12.1193 216.419 
point 66 669 488.478 235.287 
point 67 679 1.11785 204.762 
point 68 689 266.432 172.507 
point 69 691 79.0855 139.898 
point 70 710 105.901 173.125 
point 71 715 87.1641 238.944 
point 72 719 157.865 181.107 
point 73 725 327.496 213.754 
point 74 726 281.035 187.598 
point 75 750 174.123  236.22 
point 76 770 76.5284 168.106 
point 77 780 513.227 239.478 
point 78 805 325.969 121.318 
point 79 806 511.911 236.057 
point 80 820 147.621 190.422 
point 81 822 602.872 224.562 
point 82 832  396.99 189.502 
point 83 847 460.867 208.782 
point 84 848 136.515  206.33 
point 85 854 383.658  222.29 
point 86 856 352.811 202.585 
point 87 858 334.458 164.852 
point 88 863 62.5734 139.678 
point 89 876 154.946 6.80128 
point 90 877 519.23 179.37 
point 91 880 203.797  120.16 
point 92 881 396.565  134.25 
point 93 883 266.192 202.239 
point 94 916 187.423 194.739 
point 95 929 395.747 56.2484 
point 96 937 366.019 234.626 
point 97 944 154.278  122.63 
point 98 952 54.6728 200.805 
point 99 958 80.4563  73.505 
point 100 967 357.742 162.077 
point 101 968 574.011 89.9725 
point 102 972 593.453 148.219 
point 103 973 78.7057 180.192 
point 104 974 114.253 231.903 
point 105 978 137.404 194.651 
point 106 984 575.492 165.169 
point 107 993 519.539 174.205 
point 108 997  551.88 228.911 

