seq: 188
gt_pose:   1.6655 0.450204  2.62407
odom_pose: 0.709283  1.13935  2.79225
point 0 31 411.233 171.198 
point 1 39 559.072 118.582 
point 2 63 359.662 205.636 
point 3 68 421.137 239.126 
point 4 76 473.675 181.975 
point 5 80 49.0202 230.149 
point 6 88 298.984 237.202 
point 7 90 97.0999 199.087 
point 8 92 27.4832 145.728 
point 9 103 597.205 213.586 
point 10 109 59.9358  183.49 
point 11 111 280.903 227.668 
point 12 156  479.59 86.9262 
point 13 166 221.027 189.799 
point 14 173 530.085 177.939 
point 15 175 300.752 114.174 
point 16 176 398.561 131.412 
point 17 181 408.867 203.071 
point 18 186 331.608 158.996 
point 19 216 11.5487 103.222 
point 20 218 153.358 234.278 
point 21 226 478.622 147.483 
point 22 229 536.227 193.968 
point 23 233 332.163 233.124 
point 24 240 561.671 36.1197 
point 25 245 113.112 120.805 
point 26 251 284.317 225.889 
point 27 275 550.041 160.946 
point 28 303 336.282 184.384 
point 29 331 169.136 216.446 
point 30 346 387.83 171.04 
point 31 352 125.369 174.902 
point 32 377 536.865 229.206 
point 33 387 292.991 129.616 
point 34 393 623.086 214.798 
point 35 402 478.797 221.472 
point 36 405 383.705 170.824 
point 37 408 609.347 177.433 
point 38 435 584.151 224.549 
point 39 438 619.522 182.309 
point 40 450 612.264 157.561 
point 41 464  604.03 233.316 
point 42 478 434.459 213.339 
point 43 491 317.399 133.596 
point 44 494 268.278 192.792 
point 45 495 442.288 71.7273 
point 46 499 379.252 201.429 
point 47 503 102.329 186.116 
point 48 505 627.231 182.646 
point 49 506 474.765 154.534 
point 50 514 179.245 155.415 
point 51 520 509.436 176.243 
point 52 539 342.012 176.203 
point 53 541 171.258 226.257 
point 54 543 136.557 215.528 
point 55 544 398.802 209.264 
point 56 555 143.504 230.615 
point 57 559  40.708 199.346 
point 58 577 87.9062 228.473 
point 59 578 491.146 165.122 
point 60 596 369.595 200.314 
point 61 599 440.792 196.471 
point 62 600 64.7748 202.934 
point 63 607 122.656 235.748 
point 64 610 181.352 98.5496 
point 65 622 444.145 113.521 
point 66 623 186.404 188.523 
point 67 631 281.987 233.163 
point 68 644 286.074 100.982 
point 69 648  29.386 217.076 
point 70 669 516.837 234.756 
point 71 679 16.8302 205.527 
point 72 689 273.707 170.474 
point 73 691  73.598 133.572 
point 74 710 117.206 173.939 
point 75 711 623.944 211.828 
point 76 719 166.385  181.02 
point 77 725 336.833 212.493 
point 78 726 288.163 184.918 
point 79 750 180.111 236.143 
point 80 769 8.34545 148.342 
point 81 770 89.7427 169.446 
point 82 780 542.874 239.423 
point 83 805 335.996 110.744 
point 84 806 558.834 235.304 
point 85 820 154.339 189.786 
point 86 832 411.109 186.172 
point 87 836 10.3815 207.602 
point 88 847 483.065 205.905 
point 89 848 144.546  206.18 
point 90 854 397.562 220.974 
point 91 856 363.579 200.563 
point 92 858 344.187 161.039 
point 93 863 73.1697 140.355 
point 94 877 552.304 172.166 
point 95 880 200.702 106.559 
point 96 881 419.698 116.526 
point 97 883 270.806 198.667 
point 98 916 193.608 193.797 
point 99 924 572.725 224.277 
point 100 929 425.666 11.0177 
point 101 937 378.663 234.226 
point 102 944  152.92 114.867 
point 103 952 69.7177  201.75 
point 104 953  487.91 170.647 
point 105 958 80.4104 66.9224 
point 106 967 370.977 154.431 
point 107 968 636.671 59.0555 
point 108 973 91.4828 181.204 
point 109 974 120.111 231.778 
point 110 978 138.089 192.486 
point 111 984  618.72 155.269 
point 112 993  550.46 167.068 
point 113 997 610.031 226.627 

