seq: 190
gt_pose:  1.30763 0.632755  2.70702
odom_pose: 0.294586  1.26503  2.88897
point 0 1 622.159 170.043 
point 1 28 22.5076 197.567 
point 2 31 476.789 138.273 
point 3 63 382.719  200.47 
point 4 68 475.166 238.829 
point 5 76 519.379 171.187 
point 6 80  64.231 230.121 
point 7 88 313.494 236.947 
point 8 90 116.292 199.769 
point 9 92 0.302149   130.96 
point 10 111 292.345 225.753 
point 11 166 227.509 184.471 
point 12 173 594.424 164.084 
point 13 175 314.931 85.3682 
point 14 176 485.886 47.3474 
point 15 181 438.426  197.76 
point 16 186 350.155 148.046 
point 17 189 465.712 227.354 
point 18 205 635.348 194.042 
point 19 218 167.761 234.235 
point 20 226 534.508 125.337 
point 21 229  611.35 181.811 
point 22 233 350.457 232.276 
point 23 245 86.1254 94.0941 
point 24 251 295.929 223.453 
point 25 275 628.834 140.038 
point 26 303 360.932 167.286 
point 27 308 9.06097 194.449 
point 28 321 417.503 186.623 
point 29 331 177.893  215.27 
point 30 346 415.866 159.954 
point 31 352 109.267 163.306 
point 32 377 603.887 226.741 
point 33 387 304.715 97.3286 
point 34 402 527.499 217.807 
point 35 404  484.88 180.884 
point 36 405  410.75 160.006 
point 37 406  422.04 205.323 
point 38 477 532.911 165.889 
point 39 478 469.809 209.049 
point 40 491 337.628 90.3766 
point 41 494 280.983 189.631 
point 42 495 510.924 5.40733 
point 43 499 406.06 195.17 
point 44 503 109.294 183.767 
point 45 506 574.771 111.419 
point 46 514 179.705 145.241 
point 47 520 572.974  160.85 
point 48 539 360.978 169.181 
point 49 541 166.102 224.118 
point 50 543 149.488 215.137 
point 51 544 427.381 204.706 
point 52 555 152.857  230.25 
point 53 559 58.7329 199.665 
point 54 577  99.407 228.244 
point 55 578 585.333 132.976 
point 56 585 624.795 208.061 
point 57 596 396.234 193.046 
point 58 599 490.301 185.252 
point 59 600 85.7384 203.725 
point 60 607 118.153 235.274 
point 61 610 180.793 80.0755 
point 62 622 496.116 79.4565 
point 63 623 199.096 187.329 
point 64 631 295.288 232.623 
point 65 644 296.665 66.8852 
point 66 648 54.1543 217.809 
point 67 669 590.576 233.281 
point 68 674 532.513 233.567 
point 69 679 38.4869 206.201 
point 70 689 286.546 165.343 
point 71 691 49.8841 115.254 
point 72 710 134.144 174.386 
point 73 719 179.404 179.958 
point 74 725  355.32 209.407 
point 75 726  301.21 178.108 
point 76 748 23.5136 210.708 
point 77 750 188.372 235.919 
point 78 769  26.882 149.103 
point 79 770 109.333 170.704 
point 80 780 617.853 239.276 
point 81 805 357.936  81.743 
point 82 820  163.47 187.633 
point 83 826 584.618 194.922 
point 84 832 441.918 177.958 
point 85 836 36.7289 208.738 
point 86 847 536.646 198.384 
point 87 848 156.057 205.317 
point 88 854 428.567 217.619 
point 89 856  385.73 195.621 
point 90 858 363.717 151.686 
point 91 863 87.4633 139.685 
point 92 880 183.452 64.3864 
point 93 881 492.331 54.1364 
point 94 883  277.66 188.451 
point 95 916 202.603 191.118 
point 96 937 406.569 233.196 
point 97 944 142.257 93.1213 
point 98 952 91.9173 202.788 
point 99 953 538.805 156.765 
point 100 958  71.713 47.8993 
point 101 967 402.232 133.136 
point 102 973  110.35 182.062 
point 103 974 126.446  231.36 
point 104 978 132.787 186.488 
point 105 990 635.754 187.882 
point 106 993 629.471 147.747 

