seq: 192
gt_pose: 0.943479  0.80177  2.70802
odom_pose: -0.0520948    1.34433     2.9118
point 0 31 586.688 67.1284 
point 1 34 121.456 213.057 
point 2 58 335.369 236.113 
point 3 63 391.917 194.794 
point 4 68 533.576  238.39 
point 5 76 541.447 163.636 
point 6 80 28.5968 228.737 
point 7 88 312.978 236.616 
point 8 90 98.8637  196.29 
point 9 93 314.797 203.119 
point 10 101 384.909 192.697 
point 11 111 286.813   222.8 
point 12 166 211.133  174.52 
point 13 173 625.823 155.451 
point 14 175  313.58 37.8203 
point 15 181 450.843 193.399 
point 16 186 354.663  134.89 
point 17 189 479.244 226.197 
point 18 209 384.629 235.198 
point 19 218 154.637 233.731 
point 20 226 571.247 105.803 
point 21 233 354.539 231.289 
point 22 251 290.577 219.635 
point 23 285 429.939 168.872 
point 24 303 378.104 137.171 
point 25 307 344.609 227.325 
point 26 321 427.376 181.322 
point 27 322 396.247 185.743 
point 28 331 159.026 211.953 
point 29 333 608.446 199.255 
point 30 346 429.237  148.95 
point 31 352 28.3496 133.779 
point 32 358 100.092 179.629 
point 33 377  636.67 225.219 
point 34 387 298.274 35.1525 
point 35 397 194.346 190.186 
point 36 402 552.582 215.145 
point 37 404 500.853 175.224 
point 38 405 423.178  149.22 
point 39 406 432.365 201.878 
point 40 428  291.78 184.199 
point 41 477 553.135 158.915 
point 42 478 485.989 205.745 
point 43 494 277.392 184.752 
point 44 499 418.756 188.657 
point 45 503  74.288 174.373 
point 46 514 147.443 123.314 
point 47 520     611 149.014 
point 48 539 365.473  161.74 
point 49 541  120.45 219.385 
point 50 543 131.322  212.46 
point 51 544  439.92 200.647 
point 52 545 81.8498 196.995 
point 53 555 130.567 228.938 
point 54 559 25.0878 194.441 
point 55 561 464.456 226.883 
point 56 574 48.0596 184.127 
point 57 577 68.4001 226.581 
point 58 596 410.119 184.616 
point 59 599 528.939 172.895 
point 60 600  63.086 200.188 
point 61 607 65.642 234.04 
point 62 610 146.677   40.65 
point 63 622 538.461 41.0402 
point 64 623 188.512 182.637 
point 65 631 292.918 231.859 
point 66 644 288.684 6.10252 
point 67 648 27.2292 215.546 
point 68 674 551.652 232.993 
point 69 679 3.11969 201.932 
point 70 689 283.319  157.72 
point 71 710 117.868 168.574 
point 72 715 102.875 238.896 
point 73 719 166.437  174.34 
point 74 725 359.425 206.016 
point 75 726 298.449 168.374 
point 76 750 170.343 235.354 
point 77 770 90.8027 164.547 
point 78 798  343.13 179.702 
point 79 800 340.754 180.459 
point 80 805 368.286 39.4199 
point 81 820 142.767 180.642 
point 82 826 612.781 190.157 
point 83 830 601.845 184.647 
point 84 832 455.779 171.001 
point 85 836 6.34818 205.364 
point 86 847 568.001 192.398 
point 87 848  137.27 201.302 
point 88 854 445.081 214.255 
point 89 856 393.148  190.74 
point 90 858 368.885 141.629 
point 91 863 57.0906 126.499 
point 92 883 262.183 169.345 
point 93 916  187.53 184.761 
point 94 937 421.176 232.063 
point 95 944 80.4734 41.8902 
point 96 952 72.2195 199.544 
point 97 953 564.481  147.07 
point 98 966 548.292  216.63 
point 99 967 425.007 103.805 
point 100 973 91.2195 176.724 
point 101 974 94.4427 229.923 
point 102 978 81.6381 171.809 
point 103 980 350.441 216.712 

