seq: 193
gt_pose: 0.759025 0.881406  2.76825
odom_pose: -0.250002   1.38451   2.97622
point 0 28 16.3892 195.081 
point 1 58 347.677 235.919 
point 2 63 411.926 189.905 
point 3 68 624.143 237.822 
point 4 76 586.894 152.201 
point 5 80 47.0185 229.008 
point 6 88 324.311 236.424 
point 7 90 116.056 197.489 
point 8 93 326.103 201.464 
point 9 101 400.985 189.471 
point 10 111  295.91 221.002 
point 11 145 622.779 237.708 
point 12 166 216.859 170.673 
point 13 175 326.075 1.08469 
point 14 181 476.889 188.396 
point 15 186 370.019 125.126 
point 16 189 508.998 224.654 
point 17 192  588.69 176.013 
point 18 209  400.74 234.867 
point 19 218 167.384 233.788 
point 20 226 635.878 78.2181 
point 21 233 369.427  230.56 
point 22 251  299.83 217.178 
point 23 285 451.398 162.614 
point 24 303 410.477 106.697 
point 25 307 357.558 226.626 
point 26 308 6.96641 192.497 
point 27 321 449.541 175.717 
point 28 322 413.491 181.784 
point 29 331 168.093 211.508 
point 30 337 584.293 217.322 
point 31 346 454.582 138.049 
point 32 352 10.2573 122.238 
point 33 397 205.217 190.014 
point 34 402 602.565  211.13 
point 35 404 535.203 167.237 
point 36 405 447.329 138.729 
point 37 406 455.243  198.16 
point 38 428 302.234 182.132 
point 39 453 466.231 236.461 
point 40 477 598.997 147.195 
point 41 478 518.696 201.496 
point 42 494 287.348 182.675 
point 43 499 442.949 182.482 
point 44 503 85.0135 174.107 
point 45 514 148.766 115.796 
point 46 539 380.689 155.891 
point 47 541 114.922 217.471 
point 48 543 143.953 212.647 
point 49 544 465.209 196.313 
point 50 555 140.917 228.867 
point 51 559 45.3074 195.816 
point 52 561 490.975 225.552 
point 53 577 82.5795 226.724 
point 54 596 435.226 176.944 
point 55 599 589.572 157.743 
point 56 600 82.8102 201.517 
point 57 607 65.2399 233.737 
point 58 610 146.638 26.1383 
point 59 616 467.909 228.036 
point 60 623 199.453 182.473 
point 61 631 303.297 231.478 
point 62 648 50.7339 216.581 
point 63 674 596.354 232.007 
point 64 679 26.5633 203.396 
point 65 689 293.372 154.219 
point 66 710 133.173 170.032 
point 67 715 119.974 238.927 
point 68 719 178.088 174.486 
point 69 725 374.269 203.441 
point 70 726 308.871 162.694 
point 71 748 18.3139 209.078 
point 72 750 178.731 235.252 
point 73 769 6.74462  139.27 
point 74 770  108.54 166.722 
point 75 798 355.976 176.419 
point 76 800 353.461 177.247 
point 77 805 390.332 3.51359 
point 78 820 152.576 180.048 
point 79 832 483.469 163.075 
point 80 836 31.8776 206.955 
point 81 847 626.589  183.59 
point 82 848 148.844 201.332 
point 83 854 474.346  210.79 
point 84 856 411.537 186.388 
point 85 858 384.758 133.644 
point 86 863 73.5241 128.673 
point 87 869 571.928 234.383 
point 88 883 264.668 155.043 
point 89 916 196.055 183.459 
point 90 937 447.339 230.993 
point 91 944  68.084 20.5744 
point 92 952 92.0711 200.975 
point 93 953 617.111 131.783 
point 94 966 591.223 213.469 
point 95 967 460.813 75.0817 
point 96 973 108.584  178.44 
point 97 974 103.838 229.817 
point 98 978 79.0385 167.441 
point 99 980 363.844  215.35 

