seq: 195
gt_pose: 0.375688  1.00097  2.91056
odom_pose: -0.634776   1.41601   3.13996
point 0 28 74.3655 199.881 
point 1 30 363.478 190.701 
point 2 58 379.924 235.379 
point 3 63  473.63 173.944 
point 4 73 313.895 175.594 
point 5 80  90.513 229.692 
point 6 88 354.174 235.897 
point 7 93 355.248 196.961 
point 8 101 445.836 179.837 
point 9 111 322.128 215.616 
point 10 160 576.882 173.698 
point 11 166 232.995 161.245 
point 12 181 560.315 171.416 
point 13 186 414.503 95.3032 
point 14 189 607.353 219.259 
point 15 208 486.762 203.229 
point 16 209 445.743 233.879 
point 17 218 197.191 233.924 
point 18 233 411.638 228.379 
point 19 251 327.416 209.422 
point 20 285 515.884 142.571 
point 21 307  391.97 224.648 
point 22 308 69.5721 198.164 
point 23 321 517.273 157.519 
point 24 322 462.447 169.762 
point 25 331 191.554 210.689 
point 26 332 481.182 211.711 
point 27 344 548.228 231.296 
point 28 346  537.39 100.375 
point 29 397 231.247 189.645 
point 30 405 524.975 103.032 
point 31 406  525.75 185.992 
point 32 428  328.68 176.684 
point 33 453 534.758 235.536 
point 34 478 631.184 186.077 
point 35 494 312.561 177.321 
point 36 499 521.548 161.255 
point 37 503 114.028 174.466 
point 38 514 155.769 98.3455 
point 39 527 326.616 236.768 
point 40 534 509.305 208.223 
point 41 539 423.234 138.555 
point 42 541 104.505  212.65 
point 43 543 174.217 213.192 
point 44 544 546.214 181.611 
point 45 555 167.355 228.802 
point 46 559 91.5971 199.042 
point 47 561 575.398 221.054 
point 48 577 117.631 227.176 
point 49 596 520.908  149.23 
point 50 600 126.389 204.397 
point 51 607 71.9768 233.148 
point 52 613 360.749 171.633 
point 53 614 475.086 196.063 
point 54 616 537.485 224.866 
point 55 623 225.677 182.158 
point 56 631 330.046 230.469 
point 57 648 101.394 218.759 
point 58 662 377.823 212.222 
point 59 679 78.6104 206.651 
point 60 689 319.07  145.1 
point 61 705 457.415 239.075 
point 62 710 168.027   173.3 
point 63 719 205.868 174.957 
point 64 725 415.721 195.834 
point 65 726 337.499 146.671 
point 66 736 298.038 190.648 
point 67 748 76.2623 212.404 
point 68 750 200.722 235.046 
point 69 769 59.3734 147.746 
point 70 770 148.021 171.435 
point 71 798 390.047 167.147 
point 72 800 387.092 168.205 
point 73 816  462.06 178.201 
point 74 820 177.738 179.173 
point 75 832 574.328 135.564 
point 76 836 86.4655 210.283 
point 77 848 177.198  201.63 
point 78 854 575.423 198.154 
point 79 856 465.489 172.832 
point 80 858 429.866 109.614 
point 81 863 112.604 134.315 
point 82 873 288.151 183.574 
point 83 883 270.035 95.0768 
point 84 890 11.6855 179.404 
point 85 899 436.378 189.868 
point 86 909 503.144 205.812 
point 87 916 218.066 180.691 
point 88 919 48.6911 166.139 
point 89 921 1.40224 188.713 
point 90 937 536.282 227.147 
point 91 973 147.512 182.216 
point 92 974 129.706 229.718 
point 93 978  79.471 158.073 
point 94 980 399.793 211.461 

