seq: 196
gt_pose: 0.178618  1.04002  2.98171
odom_pose: -0.850578   1.40949  -3.08348
point 0 27 368.483 201.891 
point 1 28 98.2054 201.631 
point 2 30 380.322 187.315 
point 3 58 398.725 235.008 
point 4 63 520.383 160.596 
point 5 73 327.274 172.784 
point 6 80 109.168 229.925 
point 7 88 371.522  235.53 
point 8 93 371.712 193.893 
point 9 101 474.653 172.887 
point 10 111 338.663 211.285 
point 11 160 636.023 162.196 
point 12 166 240.615 154.713 
point 13 181 625.936  157.06 
point 14 186 444.989 72.0462 
point 15 193 529.463  207.86 
point 16 208 522.667 198.466 
point 17 209 474.718 233.165 
point 18 218   210.9 233.942 
point 19 233  439.57 226.733 
point 20 251 345.939 202.744 
point 21 267 615.824 180.881 
point 22 285 561.896 126.993 
point 23 306 32.2079 171.092 
point 24 307 412.502 223.275 
point 25 308 94.9552 200.227 
point 26 321 567.074 142.961 
point 27 322 494.694 160.947 
point 28 331 202.472 210.013 
point 29 332 514.645 208.323 
point 30 344 599.171 229.906 
point 31 346 605.596 66.8498 
point 32 397 243.658 189.052 
point 33 405 587.368 71.9315 
point 34 406 578.208 176.167 
point 35 428 343.035 172.988 
point 36 430 581.325 195.366 
point 37 453  584.02 234.816 
point 38 494 326.056 173.684 
point 39 499 585.984  142.37 
point 40 503 126.814 174.103 
point 41 514 156.979 86.1797 
point 42 524 415.191 225.329 
point 43 527 340.634 236.608 
point 44 534 549.305 203.908 
point 45 539 450.769 125.834 
point 46 541 92.6458 209.049 
point 47 543 187.981 213.246 
point 48 544 610.342  169.06 
point 49 555 179.419 228.677 
point 50 559 111.306  200.18 
point 51 577 133.046  227.29 
point 52 596 597.725 122.268 
point 53 600 145.129  205.42 
point 54 607 72.5143 232.742 
point 55 613 377.114 167.289 
point 56 614 508.565  190.62 
point 57 616 587.759 222.386 
point 58 623 238.124 181.533 
point 59 631 344.878  229.78 
point 60 635 22.7184 239.112 
point 61 648 122.662  219.55 
point 62 662 395.934 210.184 
point 63 663 549.114 226.194 
point 64 679 100.401 207.827 
point 65 689 333.041 138.899 
point 66 705 486.561 238.974 
point 67 710 183.586 174.317 
point 68 719 218.809 174.673 
point 69 725 442.502  190.24 
point 70 726 354.807 134.868 
point 71 736 310.826 188.809 
point 72 748 100.085 213.617 
point 73 750 211.035 234.894 
point 74 769 81.3808 150.787 
point 75 798 410.309 160.718 
point 76 800 407.021 161.943 
point 77 810 18.0583 217.157 
point 78 816 491.747 171.414 
point 79 820 189.314 178.219 
point 80 836  109.12 211.495 
point 81 848  190.18 201.469 
point 82 852 7.00116 157.008 
point 83 856 503.088 162.358 
point 84 858 459.839 91.5955 
point 85 863 129.618 136.116 
point 86 873 300.684 181.753 
point 87 883 265.513 12.0336 
point 88 888 21.3277 90.8568 
point 89 899 462.264  184.78 
point 90 909  541.53 201.307 
point 91 915 25.3746 214.814 
point 92 916 228.578 178.689 
point 93 921 37.8026 192.504 
point 94 934 481.321 170.416 
point 95 937 615.087 223.465 
point 96 973 164.562 183.505 
point 97 974 141.181 229.582 
point 98 978 75.9713 151.568 
point 99 980 421.566 208.739 

