seq: 197
gt_pose: -0.0207293    1.06496    3.05287
odom_pose: -1.05351  1.38727 -2.98421
point 0 27 385.498 199.357 
point 1 28 119.539 203.046 
point 2 30 399.121 183.104 
point 3 58 420.233  234.54 
point 4 63 589.445 139.774 
point 5 73 341.372 169.327 
point 6 80 126.229 230.095 
point 7 88 391.404 235.063 
point 8 93 390.085 190.068 
point 9 101 510.437 163.659 
point 10 105 371.811 197.181 
point 11 111 359.813 204.831 
point 12 129 16.1478 135.902 
point 13 166 247.972 146.423 
point 14 186 485.768 38.5287 
point 15 193 574.681 203.128 
point 16 197  31.184 176.876 
point 17 208 568.832 191.993 
point 18 209 510.773 232.215 
point 19 218 224.027 233.929 
point 20 233 475.568 224.445 
point 21 251 371.587 191.956 
point 22 281 450.577 225.805 
point 23 285 624.903 104.614 
point 24 302 303.699 199.256 
point 25 306 61.049 174.86 
point 26 307 436.456 221.523 
point 27 308 117.505 201.904 
point 28 321 637.544 121.375 
point 29 322  535.64 149.045 
point 30 331 212.974 209.133 
point 31 332 556.854 203.796 
point 32 380  557.26 219.561 
point 33 397 255.835 188.168 
point 34 399 460.591 230.644 
point 35 413 4.06417 213.357 
point 36 428 358.558 168.428 
point 37 441 355.857 193.136 
point 38 460 303.002 206.559 
point 39 480 524.014 221.454 
point 40 494 340.505 169.198 
point 41 503 138.635 173.369 
point 42 514 156.127 70.6477 
point 43 524 437.767 224.005 
point 44 527 355.606 236.412 
point 45 534 601.549 197.979 
point 46 539 485.353 108.648 
point 47 541 73.4427 204.099 
point 48 543 201.049 213.156 
point 49 555 190.869 228.486 
point 50 557 613.006 226.039 
point 51 559  129.27 201.053 
point 52 575 26.4531 180.122 
point 53 577 147.345 227.334 
point 54 600 162.337 206.212 
point 55 607 70.7185 232.237 
point 56 613 395.219 161.914 
point 57 614 551.064 183.294 
point 58 623 250.295 180.577 
point 59 631 361.223  228.92 
point 60 635 55.3452 239.171 
point 61 648 141.924 220.183 
point 62 662 416.413 207.639 
point 63 663 599.479  224.03 
point 64 679  120.08 208.762 
point 65 689 348.196 131.206 
point 66 705 522.463 238.841 
point 67 710 198.206 174.967 
point 68 719 231.302 174.035 
point 69 720 8.13543 112.719 
point 70 725  476.13 182.664 
point 71 726 375.589 118.865 
point 72 736 324.095 186.534 
point 73 748 121.403 214.599 
point 74 750 221.004 234.702 
point 75 756 527.718 193.742 
point 76 767 26.4388 237.459 
point 77 769 101.219 153.181 
point 78 798 433.883 152.534 
point 79 800 430.142 153.983 
point 80 810 50.3829 218.621 
point 81 816 528.376 162.492 
point 82 820 200.361 176.888 
point 83 836 129.501 212.473 
point 84 848 202.551 201.097 
point 85 852 37.6217 161.626 
point 86 856 553.692 147.411 
point 87 858 498.466 66.6937 
point 88 863  145.32 137.314 
point 89 873 313.556  179.48 
point 90 888  43.381 95.0254 
point 91 894 12.1101 171.206 
point 92 899 493.538 178.177 
point 93 909 591.239 195.161 
point 94 915 54.2908 216.161 
point 95 916 238.886 176.188 
point 96 934 514.906 162.041 
point 97 946 368.789 189.529 
point 98 973 180.395 184.452 
point 99 974 151.819 229.382 
point 100 978 69.0969 143.314 
point 101 980 447.295 205.237 
point 102 998 34.6635 167.531 

