seq: 198
gt_pose: -0.221344   1.07566   3.12402
odom_pose: -1.2728 1.34743 -2.9338
point 0 27 404.466 196.213 
point 1 28 138.853 204.179 
point 2 30 420.617 177.804 
point 3 52 584.448 230.119 
point 4 58 445.564  233.94 
point 5 73 356.471 165.077 
point 6 80 141.962 230.208 
point 7 88 414.974 234.452 
point 8 93 411.118 185.231 
point 9 100 488.088   183.4 
point 10 101 557.026 150.934 
point 11 105  389.14 194.266 
point 12 111 390.016 194.271 
point 13 129 43.9359 140.857 
point 14 166 255.082 135.689 
point 15 193  635.22 196.493 
point 16 197 58.8022 180.025 
point 17 208 631.618 182.766 
point 18 209  557.85 230.901 
point 19 218  236.71 233.883 
point 20 233 525.259 221.072 
point 21 251 413.708 171.759 
point 22 281 478.508 224.299 
point 23 302 316.672 197.682 
point 24 306  86.354 177.925 
point 25 307 465.347 219.237 
point 26 322 590.509 132.239 
point 27 331 223.144 208.022 
point 28 332 612.781 197.495 
point 29 350 8.69345 119.375 
point 30 380 609.903 216.273 
point 31 397 267.902 186.967 
point 32 399 490.598 229.589 
point 33 428 375.694 162.761 
point 34 441 371.831 190.248 
point 35 460 315.949 205.306 
point 36 480 567.946 218.767 
point 37 494 356.294  163.62 
point 38 503 149.597 172.241 
point 39 511 22.0866 166.293 
point 40 514 152.501 50.3807 
point 41 524 464.355 222.314 
point 42 527 371.888  236.17 
point 43 539  531.25 84.3619 
point 44 541 42.3351 196.938 
point 45 543 213.558 212.921 
point 46 552 295.159 178.179 
point 47 555 201.805 228.224 
point 48 559 145.794 201.689 
point 49 577 160.696 227.309 
point 50 600 178.299 206.798 
point 51 607  66.038 231.602 
point 52 613 415.701 155.197 
point 53 614 607.909 172.995 
point 54 623 262.314 179.262 
point 55 631 379.711 227.829 
point 56 648 159.561  220.68 
point 57 657 14.9269 210.583 
point 58 662  440.18 204.412 
point 59 677 558.735 224.892 
point 60 679 138.035 209.487 
point 61 683 409.581 173.634 
point 62 689 365.017 121.553 
point 63 705 568.633  238.66 
point 64 710 212.068 175.266 
point 65 719  243.47 173.027 
point 66 720 29.2872 115.694 
point 67 725 520.803 171.923 
point 68 726 402.044 96.1432 
point 69 729  450.67 238.943 
point 70 736 338.067 183.736 
point 71 748 140.705 215.385 
point 72 750 230.709 234.463 
point 73 756 572.442 186.983 
point 74 760 0.558051  164.027 
point 75 767 53.4781 237.578 
point 76 769 119.271 155.005 
point 77 798 462.221 141.878 
point 78 800 457.843 143.638 
point 79 810 78.3532 219.808 
point 80 816 575.566 150.354 
point 81 820 210.973  175.14 
point 82 835 556.215 207.518 
point 83 836 148.044 213.249 
point 84 840 10.6935 185.545 
point 85 848 214.432 200.505 
point 86 852 64.3599 165.379 
point 87 856 627.449  124.54 
point 88 858 551.591  30.349 
point 89 863 159.928 137.945 
point 90 873 326.957 176.674 
point 91 888 63.1791 98.2111 
point 92 894 34.1778 173.059 
point 93 899 532.815 169.353 
point 94 915 79.6725 217.256 
point 95 916 249.087 173.095 
point 96 934 557.317 150.839 
point 97 946 385.921 186.098 
point 98 973 195.238 185.083 
point 99 974 161.699 229.114 
point 100 978 57.6972 132.646 
point 101 980 478.822 200.613 
point 102 998 64.6513 171.848 

