seq: 199
gt_pose: -0.422213   1.07208  -3.08801
odom_pose: -1.48688  1.29344 -2.86206
point 0 10 27.9479 224.127 
point 1 27 426.112 192.268 
point 2 28  156.53 205.065 
point 3 30 445.917 171.007 
point 4 58 476.474 233.151 
point 5 67 511.454 220.656 
point 6 70 296.255 199.746 
point 7 73 372.945 159.831 
point 8 80 156.582 230.266 
point 9 88  444.13 233.629 
point 10 93  435.94 178.993 
point 11 100  523.86 176.159 
point 12 101 621.617 132.416 
point 13 105  408.53 190.646 
point 14 111   441.7 174.043 
point 15 129 68.4552 144.873 
point 16 155  16.537 227.204 
point 17 166 261.954 121.398 
point 18 197 83.1662 182.584 
point 19 209 623.389 228.981 
point 20 218 249.077 233.803 
point 21 230 594.953 205.496 
point 22 233 600.928 215.655 
point 23 247 1.46291 199.649 
point 24 251 509.855 120.823 
point 25 281 512.651 222.331 
point 26 283 481.729 231.298 
point 27 293 556.838 166.641 
point 28 302 330.193 195.739 
point 29 306 108.859 180.413 
point 30 307 501.669 216.159 
point 31 331 233.069 206.639 
point 32 339 16.7202 167.875 
point 33 350 32.7174 123.393 
point 34 397 279.984 185.414 
point 35 399 527.811 228.194 
point 36 428 395.074 155.628 
point 37 441 389.417 186.682 
point 38 460 329.423 203.756 
point 39 480 626.457 215.014 
point 40 486 379.374 218.303 
point 41 494 373.965 156.599 
point 42 496 416.511 233.785 
point 43 503 159.783 170.688 
point 44 513 533.794 227.432 
point 45 514 144.908 23.1227 
point 46 522 20.3159 180.012 
point 47 524 496.725 220.106 
point 48 527 389.961 235.869 
point 49 539 596.914 47.7419 
point 50 543 225.634 212.535 
point 51 552 307.869 176.034 
point 52 555  212.32 227.882 
point 53 559 161.125 202.105 
point 54 563 357.297 206.531 
point 55 577 173.246 227.215 
point 56 587 355.293 189.366 
point 57 600 193.245 207.194 
point 58 607 57.6298 230.794 
point 59 613 439.491 146.672 
point 60 623 274.303 177.549 
point 61 626 35.4265 169.568 
point 62 631  401.29 226.419 
point 63 648 175.875 221.055 
point 64 657 48.2866 212.553 
point 65 662 468.635 200.233 
point 66 677 612.588 222.403 
point 67 679 154.572 210.022 
point 68 683 431.238 167.915 
point 69 689 384.211 109.241 
point 70 705 631.441 238.402 
point 71 710 225.332 175.223 
point 72 719 255.435 171.619 
point 73 720  48.261 117.872 
point 74 725 584.906 155.647 
point 75 726 438.565 61.6445 
point 76 727 298.185 226.666 
point 77 729  478.7 238.83 
point 78 736 353.023 180.294 
point 79 748 158.373 216.001 
point 80 750  240.23 234.169 
point 81 756 632.178 177.523 
point 82 760 30.7889 168.057 
point 83 761 510.749 218.668 
point 84 767 77.3943 237.675 
point 85 769 135.842 156.314 
point 86 798 497.698 127.573 
point 87 800 492.387 129.788 
point 88 810 102.938 220.774 
point 89 816 639.891  133.03 
point 90 820 221.236 172.917 
point 91 835 608.232 202.351 
point 92 836 165.094 213.848 
point 93 848 225.936 199.675 
point 94 852 88.0246 168.424 
point 95 863 173.621 138.024 
point 96 873 341.119 173.225 
point 97 888 81.0871 100.512 
point 98 894 53.9622 174.464 
point 99 899 584.655 157.071 
point 100 915 102.247 218.144 
point 101 916 259.289 169.281 
point 102 934 613.596 135.226 
point 103 946 405.062 181.838 
point 104 955 529.233 215.763 
point 105 960 450.907 205.367 
point 106 973 209.281 185.415 
point 107 974 170.878 228.768 
point 108 978 39.8993 118.491 
point 109 980 519.265 194.283 
point 110 998 90.8131 175.357 

